month,label,entry_policy,stop_policy,delta_vs_control_r,dollars_at_50_max_case_risk,expectancy_per_filled_case_r,expectancy_per_population_case_r,filled_cases,flat_cases,gross_negative_r,gross_positive_r,losing_cases,maximum_drawdown_r,median_stop_distance_ratio_to_control,net_r,no_fill_cases,original_positive_cases,original_positive_converted_to_loss,original_positive_retained,original_positive_unfilled,population,profit_factor,retest_filled_cases,retest_opportunity_cases,stop_disposition_cases,stop_fallbacks,stop_replacements,target_disposition_cases,time_exit_disposition_cases,win_rate_filled,winning_cases,outcome_counts_json
2022_07,July 2022,CONTROL_NEXT_M1_OPEN,CONTROL_V2_FILLED_STOP,0.0,-428.35936123526557,-0.12416213369138132,-0.12416213369138132,69,0,-33.78076923076922,25.213582006063906,34,9.423559428871464,1.0,-8.567187224705311,0,35,0,35,0,69,0.7463886282109323,0,46,33,0,0,35,1,0.5072463768115942,35,"{""STOP"":33,""TARGET"":35,""TIME_EXIT"":1}"
2022_07,July 2022,CONTROL_NEXT_M1_OPEN,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-4.463595629710763,-651.5391427208037,-0.18885192542631993,-0.18885192542631993,69,0,-44.86217880654068,31.831395952124613,45,15.733784787721797,0.4871779082986118,-13.030782854416074,0,35,11,24,0,69,0.7095374500064128,0,46,44,3,66,24,1,0.34782608695652173,24,"{""STOP"":44,""TARGET"":24,""TIME_EXIT"":1}"
2022_07,July 2022,CONTROL_NEXT_M1_OPEN,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-1.891415252630642,-522.9301238667977,-0.15157394894689788,-0.15157394894689788,69,0,-38.87968551707061,28.42108303973467,39,11.197551244415658,0.7841149773070942,-10.458602477335953,0,35,5,30,0,69,0.7310008468884358,0,46,38,19,50,30,1,0.43478260869565216,30,"{""STOP"":38,""TARGET"":30,""TIME_EXIT"":1}"
2022_07,July 2022,CONTROL_NEXT_M1_OPEN,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,0.006302547251159751,-428.04423387270754,-0.12407079242687176,-0.12407079242687176,69,0,-33.78076923076922,25.219884553315065,34,9.417256881620304,1.0,-8.560884677454151,0,35,0,35,0,69,0.7465752002575339,0,46,33,64,5,35,1,0.5072463768115942,35,"{""STOP"":33,""TARGET"":35,""TIME_EXIT"":1}"
2022_07,July 2022,M5_BROKEN_CONTROL_FIRST_RETEST,CONTROL_V2_FILLED_STOP,2.3893262563240825,-308.8930484190614,-0.13430132539959191,-0.08953421693306128,46,23,-24.76299376299375,18.585132794612523,25,9.07388161700812,1.0,-6.1778609683812284,23,35,0,21,14,69,0.7505204327267759,46,46,24,0,0,21,1,0.45652173913043476,21,"{""NO_FILL"":23,""STOP"":24,""TARGET"":21,""TIME_EXIT"":1}"
2022_07,July 2022,M5_BROKEN_CONTROL_FIRST_RETEST,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-1.2474351550152107,-490.7311189860261,-0.21336135608088092,-0.1422409040539206,46,23,-33.84973373466082,24.035111354940305,34,14.237161319880917,0.4871779082986118,-9.814622379720522,23,35,9,12,14,69,0.710053188109107,46,46,33,3,66,12,1,0.2608695652173913,12,"{""NO_FILL"":23,""STOP"":33,""TARGET"":12,""TIME_EXIT"":1}"
2022_07,July 2022,M5_BROKEN_CONTROL_FIRST_RETEST,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,4.517816037773115,-202.4685593466098,-0.08802980841156947,-0.058686538941046314,46,23,-27.868580315785927,23.819209128853732,28,6.734823020482904,0.7841149773070942,-4.049371186932196,23,35,3,18,14,69,0.8546976149826168,46,46,27,19,50,18,1,0.391304347826087,18,"{""NO_FILL"":23,""STOP"":27,""TARGET"":18,""TIME_EXIT"":1}"
2022_07,July 2022,M5_BROKEN_CONTROL_FIRST_RETEST,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,2.3893262563240825,-308.8930484190614,-0.13430132539959191,-0.08953421693306128,46,23,-24.76299376299375,18.585132794612523,25,9.07388161700812,1.0,-6.1778609683812284,23,35,0,21,14,69,0.7505204327267759,46,46,24,64,5,21,1,0.45652173913043476,21,"{""NO_FILL"":23,""STOP"":24,""TARGET"":21,""TIME_EXIT"":1}"
2022_07,July 2022,CONFIRMED_25_75_RETEST_SPLIT,CONTROL_V2_FILLED_STOP,1.791994692243061,-338.7596266231125,-0.09819119612264131,-0.09819119612264131,69,0,-27.017437629937618,20.242245097475376,34,8.996855636969599,1.0,-6.77519253246225,0,35,0,35,0,69,0.7492289007838866,46,46,33,0,0,35,1,0.5072463768115942,35,"{""SPLIT_CONTROL_STOP_NO_RETEST"":9,""SPLIT_CONTROL_TARGET_NO_RETEST"":14,""SPLIT_STOP_STOP"":24,""SPLIT_TARGET_TARGET"":21,""SPLIT_TIME_EXIT_TIME_EXIT"":1}"
2022_07,July 2022,CONFIRMED_25_75_RETEST_SPLIT,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,-2.0514752736890998,-530.9331249197205,-0.15389365939702043,-0.15389365939702043,69,0,-36.602845002630794,25.98418250423638,45,14.262834490689087,0.4871779082986118,-10.61866249839441,0,35,11,24,0,69,0.7098951598535248,46,46,44,3,66,24,1,0.34782608695652173,24,"{""SPLIT_CONTROL_STOP_NO_RETEST"":11,""SPLIT_CONTROL_TARGET_NO_RETEST"":12,""SPLIT_STOP_STOP"":33,""SPLIT_TARGET_TARGET"":12,""SPLIT_TIME_EXIT_TIME_EXIT"":1}"
