control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
STOP,-1.0,2023-01-03T08:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-01-03T05:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1813.48,a73d79618b2ef0e2215511fcdc4e0d57890b7ebb10f8f2cb603eadda56210b1c
TARGET,0.07830783078306759,2023-01-03T12:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-01-03T09:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1838.0,04a1f19a8dcf85d7c4fb45112adf28699772f699e0157b8a360f77af387c9b6f
STOP,-1.0,2023-01-03T16:00:00Z,LONG,2023-01-03T16:30:00Z,1841.22,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-01-03T13:00:00Z,2023-01-03T17:33:00Z,INITIAL_CONFIRMATION_STOP,1830.89,1849.98,dc16b6bb76d83e56bcf5e10c9719149c2fabf63aee349040003b69d18b69b560
STOP,-1.0,2023-01-03T19:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-01-03T16:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1830.89,d78e78abd84a59b1015c2ff35bdbf8059bdd86c50ae9000807b1153e59150b15
TARGET,0.9015410958904213,2023-01-03T20:00:00Z,LONG,2023-01-03T20:05:00Z,1838.52,EXPOSED_HISTORICAL_REGRESSION,True,1.0413602941176516,TARGET,2023-01-03T17:00:00Z,2023-01-04T09:11:00Z,INITIAL_CONFIRMATION_TARGET,1827.64,1849.85,6d2d5ac0afc986e66c8c722301a330fa22c8b3d325f161fd050464bb1754d89a
STOP,-1.0,2023-01-03T23:00:00Z,SHORT,2023-01-04T02:00:00Z,1836.47,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-01-03T20:00:00Z,2023-01-04T03:20:00Z,INITIAL_CONFIRMATION_STOP,1840.24,1827.64,d6d4ae85fc5c351c69e5266b6a122ece080ed8bd0b856372b1753c583a61d8fd
TARGET,2.24642289348163,2023-01-04T13:00:00Z,SHORT,2023-01-04T14:25:00Z,1856.44,EXPOSED_HISTORICAL_REGRESSION,True,1.3444316877152684,TARGET,2023-01-04T10:00:00Z,2023-01-05T10:44:00Z,INITIAL_CONFIRMATION_TARGET,1865.15,1844.73,04b09fe96411dfdf12f50d712ffed48bb8616327e20691b90e413f1aa2d73d8f
TARGET,5.508960573476286,2023-01-04T16:00:00Z,SHORT,2023-01-04T17:10:00Z,1853.02,EXPOSED_HISTORICAL_REGRESSION,True,0.8399189463019113,TARGET,2023-01-04T13:00:00Z,2023-01-05T10:44:00Z,INITIAL_CONFIRMATION_TARGET,1862.89,1844.73,e4b89ae1f09e92bd680cbc408a864376f1b76f573f8874d376db3433944ee22e
STOP,-1.0,2023-01-04T20:00:00Z,LONG,2023-01-04T22:25:00Z,1853.64,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-01-04T17:00:00Z,2023-01-05T10:05:00Z,RECLAIM_CONFIRMATION_STOP,1847.06,1862.89,0a5dea5181cde883f2e5cbb9fe01d7d7650f6ae9baa56e3b35f19984a697c179
STOP,-1.0,2023-01-05T03:00:00Z,LONG,2023-01-05T03:10:00Z,1856.77,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-01-04T21:00:00Z,2023-01-05T10:05:00Z,INITIAL_CONFIRMATION_STOP,1847.08,1862.89,24075b4c868b9a8547584de392d0296ae41701a4a73bc9e0309ae32033c7559f
