control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
STOP,-1.0,2024-04-01T10:00:00Z,SHORT,2024-04-01T10:50:00Z,2258.82,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-01T07:00:00Z,2024-04-02T12:31:00Z,INITIAL_CONFIRMATION_STOP,2265.71,2202.27,3514226bf0cc8c0389a1d37e9ff6e6f2102fec0bc3b1ea9f86b1ebd0cdf15cd9
STOP,-1.0,2024-04-01T19:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-04-01T16:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2202.27,d52d22cd5dc1a370b0df266dc393a28752b85053e90dcb58c7775886224c7b0f
TARGET,2.0636079249217585,2024-04-01T20:00:00Z,LONG,2024-04-01T23:00:00Z,2244.72,EXPOSED_HISTORICAL_REGRESSION,True,0.815822002472213,TARGET,2024-04-01T17:00:00Z,2024-04-02T07:46:00Z,INITIAL_CONFIRMATION_TARGET,2228.54,2257.92,01db21355c8ad90d7905eb137268cff3d4d37e42729151a32f5889e9f751f1e4
STOP,-1.0,2024-04-02T04:00:00Z,SHORT,2024-04-02T04:20:00Z,2247.8,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-02T01:00:00Z,2024-04-02T07:43:00Z,INITIAL_CONFIRMATION_STOP,2255.9,2228.54,239701d997a273dceb9016425bc7314ea9a00e6f776c70ca86caa370e852351b
TARGET,0.8941908713692529,2024-04-02T07:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-04-02T04:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2255.9,612a414008bbd25b35ab5a58b8d44dc212d809582cd8758d0e57c69bf51e4cd1
STOP,-1.0,2024-04-02T10:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-04-02T07:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2246.77,5346c1fad5bcd0b0c38a0bfd66f285a892af263f41c135c6fc55c404eb252ac7
STOP,-1.0,2024-04-02T15:00:00Z,SHORT,2024-04-02T15:20:00Z,2254.98,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-02T12:00:00Z,2024-04-02T17:03:00Z,INITIAL_CONFIRMATION_STOP,2266.85,2246.77,ab4d1d923a2a8a99308f3be58266ae07bda8d4ec278b2b322e03aece1083d081
STOP,-1.0,2024-04-02T18:00:00Z,LONG,2024-04-02T20:05:00Z,2260.89,EXPOSED_HISTORICAL_REGRESSION,True,0.5918570009930694,TARGET,2024-04-02T15:00:00Z,2024-04-02T21:01:00Z,RECLAIM_CONFIRMATION_TARGET,2250.82,2266.85,cb567e2aa70ebb6f4319836d1ee06648e2d326395027c448f97629b3fa40ff7f
STOP,-1.0,2024-04-02T20:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-04-02T17:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2253.4,741709213c3844c5ed38c83eab1cefed1924e49400b145e1d99bf797dfaff5db
TARGET,0.730998017184445,2024-04-02T21:00:00Z,LONG,2024-04-02T21:05:00Z,2268.11,EXPOSED_HISTORICAL_REGRESSION,True,0.516502605674585,TARGET,2024-04-02T18:00:00Z,2024-04-02T22:48:00Z,INITIAL_CONFIRMATION_TARGET,2250.84,2277.03,6cd76d01ae8b2e65c7ee11d5ef1a27872b396194dc521857a1c8c40432fc6e75
STOP,-1.0,2024-04-03T04:00:00Z,SHORT,2024-04-03T04:15:00Z,2277.99,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-03T01:00:00Z,2024-04-03T19:22:00Z,INITIAL_CONFIRMATION_STOP,2288.36,2250.84,fab5bdeff404ba2f419d4460de5298fcb6653f7420b37f3fa21b8a9b4ffddf16
STOP,-1.0,2024-04-03T07:00:00Z,LONG,2024-04-03T07:05:00Z,2286.1,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-03T04:00:00Z,2024-04-03T10:12:00Z,INITIAL_CONFIRMATION_STOP,2276.78,2288.36,06d768834253e1e84031c3ad31aa122e1332f240ae7ec3fd393ef82b593424af
TARGET,4.671717171717129,2024-04-03T09:00:00Z,SHORT,2024-04-03T09:30:00Z,2281.52,EXPOSED_HISTORICAL_REGRESSION,True,0.7303543913712803,TARGET,2024-04-03T06:00:00Z,2024-04-03T10:12:00Z,INITIAL_CONFIRMATION_TARGET,2288.01,2276.78,7061828c7a49dd22c0823e5dcbe079a064967466bb2387f8b5c1b68d7a488e09
STOP,-1.0,2024-04-03T14:00:00Z,LONG,2024-04-03T15:00:00Z,2273.81,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-03T11:00:00Z,2024-04-03T15:22:00Z,INITIAL_CONFIRMATION_STOP,2267.73,2288.01,2e0af70a4f0d29c28c5f7fad415495d9e406ee208742f02b6d922bac9801ca1d
TARGET,0.30439814814815724,2024-04-03T18:00:00Z,LONG,2024-04-03T18:30:00Z,2286.75,EXPOSED_HISTORICAL_REGRESSION,True,0.05921052631579917,TARGET,2024-04-03T15:00:00Z,2024-04-03T18:36:00Z,INITIAL_CONFIRMATION_TARGET,2265.47,2288.01,71a7887d6bbd63dcb6c6907deba3fac4055a1bede517c0acc846ed0f17d0a4ec
STOP,-1.0,2024-04-04T04:00:00Z,SHORT,2024-04-04T05:55:00Z,2299.27,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-04T01:00:00Z,2024-04-04T21:56:00Z,RECLAIM_CONFIRMATION_STOP,2304.89,2265.47,defc2a6eef64c4192afc7789c8c87c0ee1c40fa3c04dec0cfb3b94ee68aa1bca
STOP,-1.0,2024-04-04T07:00:00Z,SHORT,2024-04-04T08:45:00Z,2297.62,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-04T04:00:00Z,2024-04-04T21:56:00Z,INITIAL_CONFIRMATION_STOP,2304.87,2265.47,75c4e0b946b60ecebb15bac0f95b3c03dd4eea9dfed8c295023256b18bf75315
STOP,-1.0,2024-04-04T11:00:00Z,SHORT,2024-04-04T11:20:00Z,2292.54,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-04T08:00:00Z,2024-04-04T21:20:00Z,INITIAL_CONFIRMATION_STOP,2300.75,2265.47,6f163a1ffd1cafb1d32b00b86140f4bd22a6982465bf1034ace1dc4fdb2ce2c6
STOP,-1.0,2024-04-04T17:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-04-04T14:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2265.47,5340927669581636cd9205a49534e4791fe46b37f9ff28bcbee59a0b767e0945
STOP,-1.0,2024-04-04T20:00:00Z,SHORT,2024-04-04T20:05:00Z,2287.35,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-04-04T17:00:00Z,2024-04-04T21:19:00Z,INITIAL_CONFIRMATION_STOP,2299.44,2282.8,fdaff8212cbbe9bbd6166498e5c28d0be5b517cbb7c0b935536ce995d2634ecb
TARGET,0.4359296482411789,2024-04-05T02:00:00Z,SHORT,2024-04-05T03:15:00Z,2288.11,EXPOSED_HISTORICAL_REGRESSION,True,0.30256410256410415,TARGET,2024-04-04T21:00:00Z,2024-04-05T04:00:00Z,INITIAL_CONFIRMATION_TARGET,2305.66,2282.8,88f9657d05f2f22351af5627791aa4c3f99d3bbd35bea5c7e49a6b5d678acff9
STOP,-1.0,2024-04-05T03:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-04-04T22:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2305.66,b92dd3a829754424647c5c12042792f8f82491e9e164f40b95902bce885b4397
TARGET,3.2265624999999707,2024-04-05T07:00:00Z,LONG,2024-04-05T07:40:00Z,2279.59,EXPOSED_HISTORICAL_REGRESSION,True,2.209322033898246,TARGET,2024-04-05T04:00:00Z,2024-04-05T17:24:00Z,INITIAL_CONFIRMATION_TARGET,2267.79,2305.66,9d451ea823d6604d7759e8b787746ce6fa7aaa5c8e02d84955908f108cb365c2
