control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
TARGET,1.1632947976878754,2024-09-02T08:00:00Z,LONG,2024-09-02T09:10:00Z,2498.55,EXPOSED_HISTORICAL_REGRESSION,True,0.763250883392207,TARGET,2024-09-02T05:00:00Z,2024-09-02T11:44:00Z,INITIAL_CONFIRMATION_TARGET,2490.06,2505.03,6750e6968980b961a695fc90589faba61ccc029791d8f50c5d2f5fa1ce523121
TARGET,1.1440993788819662,2024-09-02T14:00:00Z,SHORT,2024-09-02T14:05:00Z,2498.35,EXPOSED_HISTORICAL_REGRESSION,True,0.9241917502786765,TARGET,2024-09-02T11:00:00Z,2024-09-03T04:27:00Z,INITIAL_CONFIRMATION_TARGET,2507.32,2490.06,363a675e4a678b44c78b1f35253d3e16c647594e48a654cae8904c487fcf7edb
STOP,-1.0,2024-09-02T17:00:00Z,LONG,2024-09-02T17:55:00Z,2502.3,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-09-02T14:00:00Z,2024-09-03T02:52:00Z,INITIAL_CONFIRMATION_STOP,2497.2,2507.32,1acae3c40e4ebd1e1c351f75dee893ef8f6164196b5315841c5f007e0e7311ca
TARGET,4.118644067797289,2024-09-02T18:00:00Z,SHORT,2024-09-02T19:55:00Z,2499.71,EXPOSED_HISTORICAL_REGRESSION,True,0.7110481586403398,TARGET,2024-09-02T15:00:00Z,2024-09-03T02:52:00Z,INITIAL_CONFIRMATION_TARGET,2503.24,2497.2,542a413b07159d146731908a285a5267a0fd90e9a1c04258dfbc67b7082d1b86
STOP,-1.0,2024-09-02T20:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-09-02T17:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2503.24,59206b3760e6e5b58dc82914228828eced3fb795101512c054f7a9fa0624cae8
TARGET,1.6477495107630935,2024-09-03T07:00:00Z,LONG,2024-09-03T07:30:00Z,2496.38,EXPOSED_HISTORICAL_REGRESSION,True,1.028485757121379,TARGET,2024-09-03T04:00:00Z,2024-09-03T11:14:00Z,INITIAL_CONFIRMATION_TARGET,2489.71,2503.24,2c5d4f7b033c8427e94f9f1d90c22060f97518f5f475bd2b7b96ff5fc5c1ed48
TARGET,0.29455445544550446,2024-09-03T11:00:00Z,LONG,2024-09-03T11:05:00Z,2502.48,EXPOSED_HISTORICAL_REGRESSION,True,0.07835051546389461,TARGET,2024-09-03T08:00:00Z,2024-09-03T11:14:00Z,INITIAL_CONFIRMATION_TARGET,2492.78,2503.24,a7246e31c781701452dc8e09a6ff14f3e9fcb0ea8f61bb824a3159f6773be7bf
TARGET,0.5168161434977169,2024-09-03T14:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-09-03T11:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2492.78,a7419962babd976f011a973b562d108860930fca65cc1be14b62683c904ef2d5
STOP,-1.0,2024-09-03T20:00:00Z,LONG,2024-09-03T20:25:00Z,2490.01,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-09-03T17:00:00Z,2024-09-04T11:54:00Z,INITIAL_CONFIRMATION_STOP,2473.47,2502.16,224a8b739b4b4ad1a845e7ee2ec4df2af37f3c49ba9c1c30b55641e2bc35e1b4
STOP,-1.0,2024-09-04T07:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-09-04T04:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2502.16,ce3861ddce8c4e0ffc126663b612592d04252a3b901a0794f84db2a3e082e84e
TARGET,4.653061224489654,2024-09-04T08:00:00Z,SHORT,2024-09-04T08:50:00Z,2493.98,EXPOSED_HISTORICAL_REGRESSION,True,0.8843537414965513,TARGET,2024-09-04T05:00:00Z,2024-09-04T09:21:00Z,INITIAL_CONFIRMATION_TARGET,2496.92,2491.38,6e0a29dd9af617a82c55d8e63a7df694296b20f0f5212787368af1943c42ec33
TARGET,0.4395161290322611,2024-09-04T15:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-09-04T12:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2496.92,66b0a2b09cae686faa65ee11420791a5b22c3a4d9d9a9778112d3727d18db5ca
