control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
STOP,-1.0,2024-12-02T06:00:00Z,LONG,2024-12-02T06:05:00Z,2628.99,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-02T03:00:00Z,2024-12-02T07:22:00Z,INITIAL_CONFIRMATION_STOP,2622.93,2665.88,c861278dfa73a2ee7c5b75d4949cbadbb162640763ee57434808e6c66416f03c
STOP,-1.0,2024-12-02T10:00:00Z,LONG,2024-12-02T11:15:00Z,2634.14,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-02T07:00:00Z,2024-12-06T03:08:00Z,INITIAL_CONFIRMATION_STOP,2621.94,2665.88,96fa2d846657b7eb8157eb54f3f3976af11d9228ebf5853b4513d20801680777
STOP,-1.0,2024-12-02T19:00:00Z,SHORT,2024-12-02T19:05:00Z,2639.08,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-02T16:00:00Z,2024-12-03T15:55:00Z,INITIAL_CONFIRMATION_STOP,2651.87,2621.94,54d1a2c7bee81fdc520159d8b1566426c2678742a3f78ca968a5e30fa71fe58c
TARGET,4.117318435754212,2024-12-02T23:00:00Z,LONG,2024-12-03T02:35:00Z,2644.26,EXPOSED_HISTORICAL_REGRESSION,True,0.7105508870214423,TARGET,2024-12-02T20:00:00Z,2024-12-03T15:55:00Z,INITIAL_CONFIRMATION_TARGET,2633.55,2651.87,a4e534abc8e48eaf7b834c8d3d919a25271d8f8fbb77ed2694495c106706c2f3
STOP,-1.0,2024-12-03T06:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-12-03T03:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2633.55,478521a3c68000395983154ac8fa1aed394a9f3ff2e7ec8c387d52afa00cdcf6
TARGET,1.760497667184945,2024-12-03T06:00:00Z,LONG,2024-12-03T06:05:00Z,2642.4,EXPOSED_HISTORICAL_REGRESSION,True,1.1437198067632333,TARGET,2024-12-03T03:00:00Z,2024-12-03T15:55:00Z,INITIAL_CONFIRMATION_TARGET,2634.12,2651.87,d29fb9001227db6b70db931a070b5570e8360b9d0a32b10a91ed2c098be52f46
STOP,-1.0,2024-12-03T11:00:00Z,SHORT,2024-12-03T14:25:00Z,2638.74,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-03T08:00:00Z,2024-12-03T15:49:00Z,INITIAL_CONFIRMATION_STOP,2650.07,2634.12,fb1ee22e7dbba575413dcdfed4e261c18f3941af1a9a748c550a2a364945af26
STOP,-1.0,2024-12-03T13:00:00Z,LONG,2024-12-03T15:30:00Z,2646.36,EXPOSED_HISTORICAL_REGRESSION,True,0.4313953488372181,TARGET,2024-12-03T10:00:00Z,2024-12-03T15:49:00Z,RECLAIM_CONFIRMATION_TARGET,2637.76,2650.07,92fda7ce7ec90648dc99118127ef91237b2e9b625414c54caa51a0c8b215e2cc
TARGET,0.9842342342341975,2024-12-03T14:00:00Z,SHORT,2024-12-03T14:10:00Z,2642.55,EXPOSED_HISTORICAL_REGRESSION,True,0.5845323741007251,TARGET,2024-12-03T11:00:00Z,2024-12-03T14:23:00Z,INITIAL_CONFIRMATION_TARGET,2648.11,2639.3,459cbb03133be1a2a48009979d6eb067936a855d6458f1d56cfdf75afd848378
TARGET,1.2565517241378859,2024-12-03T19:00:00Z,SHORT,2024-12-03T21:25:00Z,2641.6,EXPOSED_HISTORICAL_REGRESSION,True,0.16358463726882902,TARGET,2024-12-03T16:00:00Z,2024-12-04T03:00:00Z,INITIAL_CONFIRMATION_TARGET,2655.66,2639.3,6450ba72c9a6682f798b9e7394deef883cf6ef5dc67b5390d2565bfa7014cb8d
STOP,-1.0,2024-12-03T20:00:00Z,LONG,2024-12-04T07:20:00Z,2649.13,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-03T17:00:00Z,2024-12-04T15:03:00Z,INITIAL_CONFIRMATION_STOP,2635.19,2655.66,7be8a377ecc26d8ae4ee837e1fde1b382369a02f1ca02e712bec910a1504be70
STOP,-1.0,2024-12-03T23:00:00Z,SHORT,2024-12-04T01:10:00Z,2641.98,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-03T20:00:00Z,2024-12-04T07:07:00Z,INITIAL_CONFIRMATION_STOP,2649.16,2635.19,71985a5b66d0f9c8da11ffac3afd38c5d1fda0601e62c1e8e067744ce0b8ee49
STOP,-1.0,2024-12-04T02:00:00Z,LONG,2024-12-04T02:05:00Z,2643.25,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-03T21:00:00Z,2024-12-04T02:49:00Z,INITIAL_CONFIRMATION_STOP,2640.24,2649.16,9e4dbde6d2a52b23649025d4bd2fb7c33a91513229cec744ba274dc20d1d3ddd
TARGET,0.6873156342182474,2024-12-04T06:00:00Z,LONG,2024-12-04T06:45:00Z,2646.98,EXPOSED_HISTORICAL_REGRESSION,True,0.23542116630667223,TARGET,2024-12-04T03:00:00Z,2024-12-04T07:07:00Z,INITIAL_CONFIRMATION_TARGET,2637.72,2649.16,3f3e1c71b244ee4aaaed6947846c91f27e976f8d87e3870e18e8ba525574db66
TARGET,0.3625498007968467,2024-12-04T11:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-12-04T08:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2637.72,00331a706525464de62403224bf052fb9c70c6be3629c02163fd0a2e6932a6cd
STOP,-1.0,2024-12-04T13:00:00Z,LONG,2024-12-04T13:05:00Z,2645.51,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-04T10:00:00Z,2024-12-04T14:51:00Z,INITIAL_CONFIRMATION_STOP,2636.72,2651.4,8b7ed83920b525ad0ed8c2cffe219219aa779409fd3147034a38ea9f73afbe59
TARGET,3.319371727748677,2024-12-04T20:00:00Z,SHORT,2024-12-04T21:00:00Z,2649.09,EXPOSED_HISTORICAL_REGRESSION,True,2.0480295566502873,TARGET,2024-12-04T17:00:00Z,2024-12-05T17:41:00Z,INITIAL_CONFIRMATION_TARGET,2657.21,2632.46,1db6d596da9fe23e6fbc1b847808b12ec8d100c5f0b3d9840d20d8684df41bc9
STOP,-1.0,2024-12-05T02:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-12-04T21:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2657.21,3d48cb5c9f0798de00433d05195aef0e2b62d6f92ebe35efed9b78e9613467d7
STOP,-1.0,2024-12-05T02:00:00Z,SHORT,2024-12-05T03:50:00Z,2646.64,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-04T21:00:00Z,2024-12-05T07:53:00Z,INITIAL_CONFIRMATION_STOP,2655.51,2632.46,65552277bc78db8b2a6a929603e5a12675571ca54e190a367caae076744a39eb
STOP,-1.0,2024-12-05T08:00:00Z,LONG,2024-12-05T08:05:00Z,2652.07,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-05T05:00:00Z,2024-12-05T10:17:00Z,INITIAL_CONFIRMATION_STOP,2644.76,2655.51,239a4407914da0c0cbde2c58c806a166b6eb844b81e9fbb41ebfc08f47bc5068
TARGET,0.5899705014749484,2024-12-05T10:00:00Z,SHORT,2024-12-05T10:15:00Z,2646.55,EXPOSED_HISTORICAL_REGRESSION,True,0.19911012235817654,TARGET,2024-12-05T07:00:00Z,2024-12-05T10:17:00Z,INITIAL_CONFIRMATION_TARGET,2655.54,2644.76,9dc6032e7c39d061d33053cfa2f3f5b65ff21fbd3154e0653989a602730feed5
STOP,-1.0,2024-12-05T14:00:00Z,LONG,2024-12-05T14:05:00Z,2651.16,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-05T11:00:00Z,2024-12-05T16:58:00Z,INITIAL_CONFIRMATION_STOP,2641.95,2655.54,a7d6e3af53d66f9840514c4048fa00562803db808edac5e99f400a4b0e0e9b95
STOP,-1.0,2024-12-05T23:00:00Z,LONG,2024-12-05T23:05:00Z,2632.05,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-05T20:00:00Z,2024-12-06T03:08:00Z,INITIAL_CONFIRMATION_STOP,2623.6,2654.55,081acbc4d402034bdd4b179c15b9578b0e41c3b652bd96b156f2de2db49f991b
STOP,-1.0,2024-12-06T09:00:00Z,SHORT,2024-12-06T09:45:00Z,2636.7,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-06T06:00:00Z,2024-12-06T10:58:00Z,INITIAL_CONFIRMATION_STOP,2644.58,2613.42,cdd2e419b74cbc22c9a02370b0faba00cff7af13662dbc4a46e997d07aedb951
STOP,-1.0,2024-12-06T14:00:00Z,SHORT,2024-12-06T15:05:00Z,2636.66,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-06T11:00:00Z,2024-12-09T01:00:00Z,INITIAL_CONFIRMATION_STOP,2645.63,2613.42,1e1aeacdaef40898073d851ec6a8f9a737dc1c193f4bea387e8bf0617fa3371e
STOP,-1.0,2024-12-06T18:00:00Z,SHORT,2024-12-06T21:50:00Z,2633.03,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-06T15:00:00Z,2024-12-09T01:00:00Z,INITIAL_CONFIRMATION_STOP,2643.51,2613.42,c0b5c08d1b57eb16af06095594e7fed68e144af12d1bb0cafeb389429d0eee28
TARGET,0.1873851806491374,2024-12-06T19:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-12-06T16:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2643.51,8d3f9eaefd1b4834fae5749060497e56773c0fdfceab79974b089b858ca3bd93
STOP,-1.0,2024-12-06T21:00:00Z,SHORT,2024-12-06T21:10:00Z,2635.35,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-06T18:00:00Z,2024-12-09T01:00:00Z,INITIAL_CONFIRMATION_STOP,2641.67,2624.12,48d0ebfe057a68f32b9e3c4819489e9c0cb81adeefb76ca8baed2c26bd024362
STOP,-1.0,2024-12-09T06:00:00Z,SHORT,2024-12-09T06:05:00Z,2637.92,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-09T03:00:00Z,2024-12-09T09:34:00Z,INITIAL_CONFIRMATION_STOP,2650.59,2627.55,f0eebd571fb22fe268edba8d83a953edacdc30fae037e7bb323c72a61a406d87
TARGET,0.7316538882804539,2024-12-09T09:00:00Z,LONG,2024-12-09T09:05:00Z,2643.67,EXPOSED_HISTORICAL_REGRESSION,True,0.7784026996625615,TARGET,2024-12-09T06:00:00Z,2024-12-09T09:34:00Z,INITIAL_CONFIRMATION_TARGET,2634.78,2650.59,2bab5b111de241b490715c9b3fc961760f03d7a388a56e0c888566112aa94918
STOP,-1.0,2024-12-09T20:00:00Z,SHORT,2024-12-09T20:05:00Z,2663.78,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-09T17:00:00Z,2024-12-10T12:52:00Z,INITIAL_CONFIRMATION_STOP,2676.51,2653.3,cdf669e86c2abbbb6f2de8a58d9ae7011547a19b3f8e5e4ddafb3c2b638972e4
TARGET,1.3903030303030612,2024-12-10T03:00:00Z,LONG,2024-12-10T03:05:00Z,2663.98,EXPOSED_HISTORICAL_REGRESSION,True,1.7426981919332551,TARGET,2024-12-09T22:00:00Z,2024-12-10T12:52:00Z,INITIAL_CONFIRMATION_TARGET,2656.79,2676.51,69ed96a77d78928b1afc271d4dbd57c04d2c9f694811887213de29a2a81949ed
STOP,-1.0,2024-12-10T09:00:00Z,SHORT,2024-12-10T09:50:00Z,2666.5,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-10T06:00:00Z,2024-12-10T12:39:00Z,INITIAL_CONFIRMATION_STOP,2673.82,2656.79,268a34953a77b1ff534f952b34a731ad1539244417fab44ff64a17bb5bf02f01
STOP,-1.0,2024-12-10T22:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-12-10T19:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2661.22,516aa62dd9de803fdff9c5f48600622d2838e9163ae1930bd6790e2fefb8a0fd
TARGET,0.966438356164337,2024-12-11T10:00:00Z,LONG,2024-12-11T10:25:00Z,2693.65,EXPOSED_HISTORICAL_REGRESSION,True,0.5994428969359109,TARGET,2024-12-11T07:00:00Z,2024-12-11T16:52:00Z,INITIAL_CONFIRMATION_TARGET,2675.7,2704.41,594e95aa12496993ecc1ec2e189820cd8b47f307fb0ee20f634f84035c86ca1f
STOP,-1.0,2024-12-11T11:00:00Z,SHORT,2024-12-11T11:10:00Z,2687.75,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-11T08:00:00Z,2024-12-11T12:12:00Z,INITIAL_CONFIRMATION_STOP,2698.1,2675.7,c9e5265594c4161dc4337b0eeb6353b36acf10e313f1e71ab76cc6a330513618
TARGET,0.1616465863454011,2024-12-11T14:00:00Z,LONG,2024-12-11T14:10:00Z,2696.18,EXPOSED_HISTORICAL_REGRESSION,True,0.19896373056996322,TARGET,2024-12-11T11:00:00Z,2024-12-11T15:09:00Z,INITIAL_CONFIRMATION_TARGET,2686.53,2698.1,2ca5954e585d922f68af634ecc0f8ce4933c2294c0c0ad5bc5b5e1a6297552ff
STOP,-1.0,2024-12-11T15:00:00Z,SHORT,2024-12-11T15:25:00Z,2692.08,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-11T12:00:00Z,2024-12-11T15:34:00Z,INITIAL_CONFIRMATION_STOP,2699.9,2686.53,85315e0fe032977070f169a14ffc0707c9bbd90d41961b7194111f1f21912b4e
STOP,-1.0,2024-12-11T23:00:00Z,SHORT,2024-12-11T23:05:00Z,2716.29,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-11T20:00:00Z,2024-12-12T02:21:00Z,INITIAL_CONFIRMATION_STOP,2721.18,2690.77,71c64fe4b89af8a16d65b7ee679ad0779c057eab58209f441913028c5fe9a7f4
TARGET,0.1649331352154041,2024-12-12T02:00:00Z,LONG,2024-12-12T02:05:00Z,2719.59,EXPOSED_HISTORICAL_REGRESSION,True,0.2543999999999505,TARGET,2024-12-11T21:00:00Z,2024-12-12T02:21:00Z,INITIAL_CONFIRMATION_TARGET,2713.34,2721.18,b719efab7b86c854cff47e1287f11afd41151d15f2a9e2fe23543bdc0aec75c1
STOP,-1.0,2024-12-12T06:00:00Z,LONG,2024-12-12T06:05:00Z,2710.07,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-12-12T03:00:00Z,2024-12-12T15:56:00Z,INITIAL_CONFIRMATION_STOP,2700.7,2721.18,e54ad3b3dbc918aa38a5fc8db2bc8fab7b3e6d4f4ee774fd975a63dd5f27205d
TARGET,2.4127806563040317,2024-12-12T12:00:00Z,SHORT,2024-12-12T12:05:00Z,2714.17,EXPOSED_HISTORICAL_REGRESSION,True,2.1414944356121355,TARGET,2024-12-12T09:00:00Z,2024-12-12T15:56:00Z,INITIAL_CONFIRMATION_TARGET,2720.46,2700.7,836561f8d516e9804afef6174ec62fefdd90dd075a4e67f3101a5e63028ccc3c
