control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
STOP,-1.0,2024-07-01T06:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-07-01T03:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2332.73,6defc98fa6f42d86342a78be2c02f6b5fc496b2b2dff8039a5876913e5e77ac9
TARGET,0.6511627906976881,2024-07-01T07:00:00Z,SHORT,2024-07-01T07:30:00Z,2324.33,EXPOSED_HISTORICAL_REGRESSION,True,0.48951048951047244,TARGET,2024-07-01T04:00:00Z,2024-07-01T07:34:00Z,INITIAL_CONFIRMATION_TARGET,2328.62,2322.23,3fdca73bf1b2c4ffe4674fd6b3790ec70eca3a79abfc4e82b8515187773c9699
TARGET,0.9272030651339952,2024-07-01T11:00:00Z,LONG,2024-07-01T12:10:00Z,2327.8,EXPOSED_HISTORICAL_REGRESSION,True,0.08874458874455497,TARGET,2024-07-01T08:00:00Z,2024-07-01T12:11:00Z,INITIAL_CONFIRMATION_TARGET,2318.56,2328.62,f3c57c85322d034adff6155a5652599af1d720fc4db0a2dffb66f0b7f2dbcdea
STOP,-1.0,2024-07-01T12:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-07-01T09:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2318.56,a6a578e75bef97eb1af33495d53cf759211faca45fe499d433ca43e5a392ad4c
STOP,-1.0,2024-07-01T18:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-07-01T15:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2318.56,dac7d8783c45543bd3bb5e7d5d0932d9c27004b6c497e59167ef211cf68178e0
STOP,-1.0,2024-07-01T20:00:00Z,LONG,2024-07-01T23:05:00Z,2331.94,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-07-01T17:00:00Z,2024-07-02T15:06:00Z,INITIAL_CONFIRMATION_STOP,2319.32,2338.54,af2db8466c0824fd13f69599c031f708cac33588e05bb7622719a97711dac51c
TARGET,1.1179775280899098,2024-07-02T08:00:00Z,SHORT,2024-07-02T10:25:00Z,2324.59,EXPOSED_HISTORICAL_REGRESSION,True,0.5372069317023457,TARGET,2024-07-02T05:00:00Z,2024-07-02T15:06:00Z,INITIAL_CONFIRMATION_TARGET,2334.4,2319.32,4447ec6b98c0722fef715c3623659fc179577ad1f86277cffabc662f71ae12f2
STOP,-1.0,2024-07-02T10:00:00Z,LONG,2024-07-02T11:15:00Z,2331.37,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-07-02T07:00:00Z,2024-07-02T13:07:00Z,RECLAIM_CONFIRMATION_STOP,2323.34,2334.4,c591f386b238a0911496b932edc3e8eacada52eb462041e8011f4e1b2620472f
STOP,-1.0,2024-07-02T13:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-07-02T10:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2334.4,e1c24d0b748095121a4ada2c30d714ee21b77c54200d61d706685c59f89fc555
TARGET,0.15181932245923047,2024-07-02T14:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-07-02T11:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2323.36,14a3e9a217c3729cf2afe82c074ebcb87fc1fe1d25916c15e0f03d40c592947f
TARGET,0.7723684210526265,2024-07-02T18:00:00Z,LONG,2024-07-02T18:15:00Z,2329.37,EXPOSED_HISTORICAL_REGRESSION,True,0.30776699029127735,TARGET,2024-07-02T15:00:00Z,2024-07-03T06:57:00Z,INITIAL_CONFIRMATION_TARGET,2319.07,2332.54,74e580e44ae0fb43cdbc4c56c95440c207e0f46d9c8f6ecbb0aa07fd6f87970a
STOP,-1.0,2024-07-02T19:00:00Z,SHORT,2024-07-02T19:05:00Z,2323.97,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-07-02T16:00:00Z,2024-07-03T09:43:00Z,INITIAL_CONFIRMATION_STOP,2336.81,2319.07,a21bb4c8af6bc05d6b9d300e5e0f44f22c4ecb6fac4fdef92db2ef241e5ff74b
