scope,entry_policy,stop_policy,population,filled_cases,no_fill_cases,retest_filled_cases,retest_opportunity_cases,winning_cases,losing_cases,flat_cases,target_disposition_cases,stop_disposition_cases,time_exit_disposition_cases,win_rate_filled,gross_positive_r,gross_negative_r,net_r,expectancy_per_population_case_r,expectancy_per_filled_case_r,profit_factor,maximum_drawdown_r,dollars_at_50_max_case_risk,stop_replacements,stop_fallbacks,median_stop_distance_ratio_to_control,original_positive_cases,original_positive_retained,original_positive_converted_to_loss,original_positive_unfilled,delta_vs_control_r,outcome_counts_json
may_2022,CONFIRMED_25_75_RETEST_SPLIT,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,61,61,0,41,41,35,26,0,35,26,0,0.5737704918032787,27.251997028137225,-20.75,6.501997028137225,0.10659011521536435,0.10659011521536435,1.313349254368059,5.269317702143221,325.09985140686126,5,56,1.0,35,35,0,0,-0.8846724218140949,"{""SPLIT_CONTROL_STOP_NO_RETEST"":7,""SPLIT_CONTROL_TARGET_NO_RETEST"":13,""SPLIT_STOP_STOP"":19,""SPLIT_TARGET_TARGET"":22}"
combined_january_to_may_2022,CONTROL_NEXT_M1_OPEN,CONTROL_V2_FILLED_STOP,326,326,0,0,201,180,146,0,177,143,6,0.5521472392638037,165.91209253716983,-143.23075406500766,22.681338472162132,0.06957465789006789,0.06957465789006789,1.1583552262935646,19.519339005830346,1134.0669236081067,0,0,1.0,180,180,0,0,0.0,"{""STOP"":143,""TARGET"":177,""TIME_EXIT"":6}"
combined_january_to_may_2022,CONTROL_NEXT_M1_OPEN,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,326,326,0,0,201,123,203,0,121,202,3,0.3773006134969325,195.8784521809888,-202.04276167088176,-6.164309489892883,-0.01890892481562234,-0.01890892481562234,0.9694900750766101,45.962784033592115,-308.2154744946441,310,16,0.49943389045956676,180,123,57,0,-28.845647962055015,"{""STOP"":202,""TARGET"":121,""TIME_EXIT"":3}"
combined_january_to_may_2022,CONTROL_NEXT_M1_OPEN,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,326,326,0,0,200,159,167,0,156,166,4,0.48773006134969327,188.9455411825531,-166.01936483346242,22.926176349090596,0.0703256943223638,0.0703256943223638,1.1380933867087637,27.65078810932662,1146.3088174545298,253,73,0.7769459252718278,180,159,21,0,0.24483787692846448,"{""STOP"":166,""TARGET"":156,""TIME_EXIT"":4}"
combined_january_to_may_2022,CONTROL_NEXT_M1_OPEN,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,326,326,0,0,201,178,148,0,175,145,6,0.5460122699386503,168.43912493126663,-145.23075406500766,23.208370866258967,0.071191321675641,0.071191321675641,1.15980341777934,24.724351595360304,1160.4185433129483,37,289,1.0,180,178,2,0,0.5270323940968353,"{""STOP"":145,""TARGET"":175,""TIME_EXIT"":6}"
combined_january_to_may_2022,M5_BROKEN_CONTROL_FIRST_RETEST,CONTROL_V2_FILLED_STOP,326,201,125,201,201,104,97,125,103,97,1,0.5174129353233831,115.93276328995651,-97.0,18.932763289956533,0.05807596101213661,0.09419285218883847,1.1951831267005826,10.830337634357909,946.6381644978267,0,0,1.0,180,103,0,77,-3.748575182205599,"{""NO_FILL"":125,""STOP"":97,""TARGET"":103,""TIME_EXIT"":1}"
combined_january_to_may_2022,M5_BROKEN_CONTROL_FIRST_RETEST,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,326,201,125,201,201,61,140,125,61,140,0,0.3034825870646766,131.31919794190406,-140.0,-8.6808020580959,-0.02662822717207331,-0.04318806994077562,0.9379942710136004,26.589234391809097,-434.040102904795,310,16,0.49943389045956676,180,61,42,77,-31.36214053025803,"{""NO_FILL"":125,""STOP"":140,""TARGET"":61}"
combined_january_to_may_2022,M5_BROKEN_CONTROL_FIRST_RETEST,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,326,200,126,200,200,88,112,126,88,112,0,0.44,129.55617292659178,-112.0,17.55617292659177,0.05385329118586433,0.08778086463295885,1.1567515439874267,11.195824734618375,877.8086463295886,253,73,0.7769459252718278,180,88,15,77,-5.125165545570361,"{""NO_FILL"":126,""STOP"":112,""TARGET"":88}"
combined_january_to_may_2022,M5_BROKEN_CONTROL_FIRST_RETEST,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,326,201,125,201,201,103,98,125,102,98,1,0.5124378109452736,118.92530376753399,-98.0,20.925303767534054,0.06418804836666887,0.10410598889320424,1.2135235078319795,13.865306581407777,1046.2651883767028,37,289,1.0,180,102,1,77,-1.7560347046280782,"{""NO_FILL"":125,""STOP"":98,""TARGET"":102,""TIME_EXIT"":1}"
combined_january_to_may_2022,CONFIRMED_25_75_RETEST_SPLIT,CONTROL_V2_FILLED_STOP,326,326,0,201,201,181,145,0,177,143,6,0.5552147239263804,128.41543963845712,-108.54553255294917,19.869907085507926,0.0609506352316194,0.0609506352316194,1.1830559638722606,11.708999803288451,993.4953542753963,0,0,1.0,180,180,0,0,-2.811431386654206,"{""SPLIT_CONTROL_STOP_NO_RETEST"":46,""SPLIT_CONTROL_TARGET_NO_RETEST"":74,""SPLIT_CONTROL_TIME_EXIT_NO_RETEST"":5,""SPLIT_STOP_STOP"":97,""SPLIT_TARGET_TARGET"":103,""SPLIT_TIME_EXIT_TIME_EXIT"":1}"
combined_january_to_may_2022,CONFIRMED_25_75_RETEST_SPLIT,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,326,326,0,201,201,123,203,0,121,202,3,0.3773006134969325,147.45901150167535,-155.51069041772044,-8.051678916045148,-0.024698401582960577,-0.024698401582960577,0.948224273878424,28.775430462976697,-402.5839458022574,310,16,0.49943389045956676,180,123,57,0,-30.73301738820728,"{""SPLIT_CONTROL_STOP_NO_RETEST"":62,""SPLIT_CONTROL_TARGET_NO_RETEST"":60,""SPLIT_CONTROL_TIME_EXIT_NO_RETEST"":3,""SPLIT_STOP_STOP"":140,""SPLIT_TARGET_TARGET"":61}"
combined_january_to_may_2022,CONFIRMED_25_75_RETEST_SPLIT,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,326,326,0,200,200,159,167,0,156,166,4,0.48773006134969327,144.40351499058204,-125.5048412083656,18.898673782216488,0.057971391969989225,0.057971391969989225,1.1505812333632652,14.594576044853044,944.9336891108244,253,73,0.7769459252718278,180,159,21,0,-3.782664689945644,"{""SPLIT_CONTROL_STOP_NO_RETEST"":54,""SPLIT_CONTROL_TARGET_NO_RETEST"":68,""SPLIT_CONTROL_TIME_EXIT_NO_RETEST"":4,""SPLIT_STOP_STOP"":112,""SPLIT_TARGET_TARGET"":88}"
combined_january_to_may_2022,CONFIRMED_25_75_RETEST_SPLIT,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,326,326,0,201,201,179,147,0,175,145,6,0.549079754601227,131.29160309516445,-109.79553255294917,21.496070542215268,0.06593886669391187,0.06593886669391187,1.1957827430897405,15.203663879894362,1074.8035271107633,37,289,1.0,180,178,2,0,-1.185267929946864,"{""SPLIT_CONTROL_STOP_NO_RETEST"":47,""SPLIT_CONTROL_TARGET_NO_RETEST"":73,""SPLIT_CONTROL_TIME_EXIT_NO_RETEST"":5,""SPLIT_STOP_STOP"":98,""SPLIT_TARGET_TARGET"":102,""SPLIT_TIME_EXIT_TIME_EXIT"":1}"
