trade_identity,pivot_at,decision_at,direction,control_outcome,control_r,executed,route,entry_at,entry_price,stop,target,outcome,resolution_at,net_r,evidence_segment
e8e9fc709682814a75f3de1c72af987d9addc6665c70ad1e3500b52818790181,2022-05-27T11:00:00Z,2022-05-27T14:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-27T14:05:00Z,1857.74,1860.48,1851.98,STOP,2022-05-27T15:03:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
bc1f0c8de00f897cf78b5d1e54a06196dfaf16e38827590aeff0f7568fb289a7,2022-05-27T15:00:00Z,2022-05-27T18:00:00Z,SHORT,TARGET,0.4269340974212049,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1851.98,,,0.0,EXPOSED_HISTORICAL_REGRESSION
c9f55c0ab064e67ac3d0f6eb09960ff5a5f0164f8701fb622af8d64c4a1423b9,2022-05-27T15:00:00Z,2022-05-27T18:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1860.48,,,0.0,EXPOSED_HISTORICAL_REGRESSION
a14795de2be86c7cbcc3f5609d3ab639dbc0b0eb9ab5032f93c47577aed94e40,2022-05-27T18:00:00Z,2022-05-27T21:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-27T22:20:00Z,1854.83,1851.09,1861.94,STOP,2022-05-30T01:55:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
25b6abda806698ec9b30479582e3c3334f0427ff38c5bf2c6f51db31d69a45ef,2022-05-30T09:00:00Z,2022-05-30T12:00:00Z,SHORT,TARGET,2.138888888888899,True,INITIAL_CONFIRMATION_TARGET,2022-05-30T13:30:00Z,1855.68,1864.0,1848.18,TARGET,2022-05-31T03:30:00Z,0.9014423076923146,EXPOSED_HISTORICAL_REGRESSION
babff86891425456479bc8dda9a863e3747faf0245a03be8a2b8be774e4f241c,2022-05-30T15:00:00Z,2022-05-30T18:00:00Z,LONG,STOP,-1.0,True,RECLAIM_CONFIRMATION_STOP,2022-05-31T01:10:00Z,1856.24,1853.44,1864.0,STOP,2022-05-31T02:16:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
c1d064e6e3f1b3829c14dffbdbad860babd6b6625cff8f8f176289b9523139d6,2022-05-30T16:00:00Z,2022-05-30T19:00:00Z,SHORT,TARGET,0.29291044776118763,True,INITIAL_CONFIRMATION_TARGET,2022-05-30T19:05:00Z,1855.86,1861.06,1854.13,TARGET,2022-05-30T20:59:00Z,0.33269230769226454,EXPOSED_HISTORICAL_REGRESSION
10c66693dd809128d47e627c1eb387c9b42d08b26878a0c98134eb5b4830f72d,2022-05-31T04:00:00Z,2022-05-31T07:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-31T08:35:00Z,1853.51,1846.03,1861.06,STOP,2022-05-31T14:56:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
18ef834b80e19ff360f9cdd14407d4aeb6e9beb03d654e1b5ed65ce00ee50108,2022-05-31T11:00:00Z,2022-05-31T14:00:00Z,SHORT,TARGET,0.39824120603015806,True,INITIAL_CONFIRMATION_TARGET,2022-05-31T14:55:00Z,1847.3,1857.16,1846.03,TARGET,2022-05-31T14:56:00Z,0.12880324543610197,EXPOSED_HISTORICAL_REGRESSION
fd52cc3c75c69dd0576f42172bbb6070eb5d7807fabc996b571b2e67a3d4963e,2022-05-31T14:00:00Z,2022-05-31T17:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_LATER_H1_INVALIDATED,,,,1857.16,,,0.0,EXPOSED_HISTORICAL_REGRESSION
f650cda9d0e774c17a62b9a3966b3a8b7d5fbab1695ae8e230302207479d8f39,2022-05-31T17:00:00Z,2022-05-31T20:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-31T20:05:00Z,1845.04,1839.96,1855.4,STOP,2022-05-31T21:55:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
