control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
TARGET,0.4116915422885523,2022-11-01T06:00:00Z,LONG,2022-11-01T08:50:00Z,1641.68,EXPOSED_HISTORICAL_REGRESSION,True,0.037477148080425265,TARGET,2022-11-01T03:00:00Z,2022-11-01T08:57:00Z,INITIAL_CONFIRMATION_TARGET,1630.74,1642.09,12da2a9c6c48e1d1de8fe79a2b2b4b50691efda65338a569d6f6de2c4ee14015
STOP,-1.0,2022-11-01T08:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-11-01T05:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1630.74,4d5f783d49cded1557745d8ccdb4fffff422ab88fe52a87ea068a6b59131e7ef
STOP,-1.0,2022-11-01T18:00:00Z,SHORT,2022-11-01T18:10:00Z,1644.36,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-11-01T15:00:00Z,2022-11-02T15:03:00Z,INITIAL_CONFIRMATION_STOP,1657.03,1630.74,b54906403ba44ec0668a7a2fb48f67b56e80f2071178511a16c9c9b2c555b469
TARGET,4.13745704467341,2022-11-01T20:00:00Z,LONG,2022-11-01T21:10:00Z,1651.02,EXPOSED_HISTORICAL_REGRESSION,True,0.6722595078299725,TARGET,2022-11-01T17:00:00Z,2022-11-02T15:03:00Z,INITIAL_CONFIRMATION_TARGET,1642.08,1657.03,a9f16a1fe457aca6a4dd6cd54f63b2f1187da17c48946470ac22e8062ad5364b
STOP,-1.0,2022-11-02T03:00:00Z,SHORT,2022-11-02T05:05:00Z,1648.76,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2022-11-01T21:00:00Z,2022-11-02T05:52:00Z,RECLAIM_CONFIRMATION_STOP,1651.3799999999999,1642.08,ad957d41599f0d8a6014b7abccf319934cfe4e5dff74377785a3dd189d63d73a
TARGET,0.27393617021281985,2022-11-02T05:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-11-02T02:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1651.13,de0da623149f19bb7fc1886f3f7526cc71af8b51294e227bf80f3ed6099d8d4e
STOP,-1.0,2022-11-02T09:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-11-02T06:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1646.34,198c076b200fa83d6dda3a13c275e16d19d3e49d0e71677bcaf66bffd7b3dd63
TARGET,0.34334763948498576,2022-11-02T18:00:00Z,SHORT,2022-11-02T18:05:00Z,1648.04,EXPOSED_HISTORICAL_REGRESSION,True,0.15711645101664098,TARGET,2022-11-02T15:00:00Z,2022-11-02T18:33:00Z,INITIAL_CONFIRMATION_TARGET,1658.86,1646.34,f392ca3bac5ef951f1103f59f2fc431a410c2d914c9f75cf5de0c7a32ee92016
STOP,-1.0,2022-11-03T05:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2022-11-03T02:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1669.49,89ad651d8e810e390efe756af92701dac629be82d49b83f06b2bde146360bf36
TARGET,1.86833855799371,2022-11-03T07:00:00Z,SHORT,2022-11-03T09:05:00Z,1635.6,EXPOSED_HISTORICAL_REGRESSION,True,0.6975881261595401,TARGET,2022-11-03T04:00:00Z,2022-11-03T10:08:00Z,INITIAL_CONFIRMATION_TARGET,1640.99,1631.84,31cf0d6e69c848045bfe8feafc06a0b9923024b0016bdb06d33d8f7587244a9b
