control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
STOP,-1.0,2024-10-01T19:00:00Z,SHORT,2024-10-01T20:40:00Z,2661.76,EXPOSED_HISTORICAL_REGRESSION,True,2.3940193491645134,TARGET,2024-10-01T16:00:00Z,2024-10-04T15:55:00Z,RECLAIM_CONFIRMATION_TARGET,2673.13,2634.54,f8e22328849b1be5701287c846643289b2a102dc02f001aab4e4643a0ff1d356
TARGET,2.22491638795987,2024-10-01T22:00:00Z,SHORT,2024-10-02T04:00:00Z,2657.46,EXPOSED_HISTORICAL_REGRESSION,True,1.4645367412140537,TARGET,2024-10-01T19:00:00Z,2024-10-04T15:55:00Z,INITIAL_CONFIRMATION_TARGET,2673.11,2634.54,987a397612cbc0d8dcda88806d2e7a2629b3cfac70960c9681c549329c835369
STOP,-1.0,2024-10-02T02:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-10-01T21:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2673.11,ee8ecc60430eafa2f095b69bc1cfb7ab34ef9e03d9e3be7a5e448817c893b237
STOP,-1.0,2024-10-02T11:00:00Z,LONG,2024-10-02T16:20:00Z,2654.54,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-10-02T08:00:00Z,2024-10-02T18:07:00Z,RECLAIM_CONFIRMATION_STOP,2643.76,2673.11,4bcfa8647487f967b265422769a5d9ecd99275de872c6168dcb3224ba1152b92
TARGET,0.6981981981981111,2024-10-02T14:00:00Z,SHORT,2024-10-02T14:05:00Z,2649.21,EXPOSED_HISTORICAL_REGRESSION,True,0.6956521739130168,TARGET,2024-10-02T11:00:00Z,2024-10-02T15:28:00Z,INITIAL_CONFIRMATION_TARGET,2655.88,2644.57,508f14b6b1662054032dc2fd063c8e5a2822ba8e0fd0362f17f2de68b7c170ef
STOP,-1.0,2024-10-02T18:00:00Z,LONG,2024-10-02T19:05:00Z,2651.86,EXPOSED_HISTORICAL_REGRESSION,True,0.375700934579428,TARGET,2024-10-02T15:00:00Z,2024-10-02T21:55:00Z,RECLAIM_CONFIRMATION_TARGET,2641.16,2655.88,431710246abfcc77420f1e677c7f49e8a3acdd4bd74a1d3122de991f451b6c5e
TARGET,0.43736263736261977,2024-10-02T20:00:00Z,SHORT,2024-10-02T20:20:00Z,2647.76,EXPOSED_HISTORICAL_REGRESSION,True,0.2544757033248114,TARGET,2024-10-02T17:00:00Z,2024-10-03T10:56:00Z,INITIAL_CONFIRMATION_TARGET,2663.4,2643.78,07c660c33a927800c5d8721c23ba7ca9efeffcd187f8e3741be69ec1ea21e35a
STOP,-1.0,2024-10-02T21:00:00Z,LONG,2024-10-02T21:05:00Z,2652.44,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-10-02T18:00:00Z,2024-10-03T12:10:00Z,INITIAL_CONFIRMATION_STOP,2641.18,2663.4,e21a012e143484b296b6f3567e43c9213941af1850a3854acc743dad69c29e9e
TARGET,2.0433566433566352,2024-10-03T06:00:00Z,SHORT,2024-10-03T06:10:00Z,2655.52,EXPOSED_HISTORICAL_REGRESSION,True,1.9326145552560654,TARGET,2024-10-03T03:00:00Z,2024-10-03T12:10:00Z,INITIAL_CONFIRMATION_TARGET,2662.94,2641.18,c33952b76caaf0d633bc2f7495c4580b3b0544100499a1f30dfc020fb87a3e41
TARGET,0.3238866396761038,2024-10-03T12:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-10-03T09:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2641.18,e30437f2fc3080cf2fe0ac0ceea1d730742d41e194247af8691cf466da9d6cc6
