trade_identity,decision_at,direction,baseline_outcome,baseline_r,route,initial_control_identity,initial_confirmation_at,addition_entry_at,h1_review_at,recovery_entry_at,recovery_stop,recovery_outcome,recovery_resolution_at,probe_r,addition_r,recovery_r,net_r,delta_vs_control_r
e92179a491f06a66af12c8bd00a681aea84309562adb60b0adecab919e9bb30f,2022-01-07T09:00:00Z,SHORT,STOP,-1.0,CONFIRMED_ADDITION_STOP,8cd5608e28d2da37daceb2c49fd01eeac2686ffdec203948e3715f921d28c9ae,2022-01-07T09:50:00Z,2022-01-07T09:50:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
985e9d8db7fb74a41f0da3a4b19a5e57584c5c06731e02d77c81c88c3f343a3a,2022-01-07T13:00:00Z,LONG,TARGET,0.5530085959885555,CONFIRMED_ADDITION_TARGET,3362b5d0572601b0fc60fc46d96c1996924be85d0062f81144215993b7b11c58,2022-01-07T13:50:00Z,2022-01-07T13:50:00Z,,,,,,0.13825214899713886,0.08641975308640906,0.0,0.22467190208354793,-0.3283366939050075
a5c0457f0ad9151870522cb4a2a83294b309efa69fc53fa9589c468dd4d6001d,2022-01-07T15:00:00Z,SHORT,STOP,-1.0,CONFIRMED_ADDITION_STOP,6bad930a89a503945ec61b90fc509b1c57ac9af80f6f68932e8e884ed7e32a5c,2022-01-07T15:05:00Z,2022-01-07T15:05:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
b9a522abd70cd8be08d82c2da99181f352beac93d5bd42d6aed80ab2c27aed08,2022-01-07T18:00:00Z,SHORT,STOP,-1.0,PROBE_STOP_LATER_H1_INVALIDATED,a6fb1a4369705fc0d95b57971b940c2c9cbdcb8583637f53e51e2e11d516c605,,,2022-01-07T20:00:00Z,,,,,-0.25,0.0,0.0,-0.25,0.75
c02d2d80f019b90aaf0e688e06a4c206a38191c0d0f46acf26728f6231dc4672,2022-01-07T18:00:00Z,LONG,TARGET,0.7016491754123196,PROBE_ONLY_TARGET,e9bc1080f9c0dbf95b274be033055041644be528b939fdefcbe0456fad55f919,,,,,,,,0.1754122938530799,0.0,0.0,0.1754122938530799,-0.5262368815592398
4ed129f77bb2821ababa725123ba3bf3311950af56855013e0a4f9c5e7d3c818,2022-01-07T23:00:00Z,SHORT,STOP,-1.0,CONFIRMED_ADDITION_STOP,1f4be2c2dcfe48d60c716ea8d45e5a0e476b89c70399cadce53132bc7d3af102,2022-01-07T23:05:00Z,2022-01-07T23:05:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
162bab9b216116fdf41d2d8b35e0b52b29f56f8e4e9308f59c1a44a0cacd9587,2022-01-10T05:00:00Z,LONG,STOP,-1.0,PROBE_STOP_H1_CLOSE_INVALIDATED,df1f27971ce5ce7a9e6844afdc492cfcaf04db86470a1847da22ccd0ad293894,,,2022-01-10T06:00:00Z,,,,,-0.25,0.0,0.0,-0.25,0.75
db6ffb9f99732bba378f1223174dd57f7c1618cfb99f9a5d030489627486b5e8,2022-01-10T12:00:00Z,LONG,TARGET,0.3369763205829023,CONFIRMED_ADDITION_TARGET,258b7d305991293c32aa0e2b4fe0d7b5dc5e116a3eae887ae79bee7881b029b7,2022-01-10T12:05:00Z,2022-01-10T12:05:00Z,,,,,,0.08424408014572557,0.18941979522184121,0.0,0.27366387536756676,-0.06331244521533552
05332d4260764da3395042eed63a72b0ac2b460a53cc1e7ffae9956f89eb0a38,2022-01-10T16:00:00Z,SHORT,TARGET,0.17647058823530556,PROBE_ONLY_TARGET,d785bd4542115fc73ffe820af4378dd5f6335d614d555dd866b73ef21f03a679,,,,,,,,0.04411764705882639,0.0,0.0,0.04411764705882639,-0.13235294117647917
353f0b9da9ee5c6504fb1b2430a2eb2019dc8c6d1c2de6f9b7fd7e4facba6675,2022-01-10T19:00:00Z,LONG,TARGET,2.312154696132491,CONFIRMED_ADDITION_TARGET,708469d0f81429c8709ed6e9b8018043bc234904c865f4314facad23c9d70a34,2022-01-10T19:35:00Z,2022-01-10T19:35:00Z,,,,,,0.5780386740331227,0.766441821247877,0.0,1.3444804952809997,-0.9676742008514911
d4e6995ba337e7a70623e21c6502ee8d7f1fca7ac5d59cc07f6c346592a7e796,2022-01-11T14:00:00Z,SHORT,STOP,-1.0,CONFIRMED_ADDITION_STOP,9fb57aa62d68c4987faaa70f2c852aa3dce4090040e892926764dbc9a3ff89f3,2022-01-11T16:05:00Z,2022-01-11T16:05:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
144f9fde44460dd32c7126bbc60f7391f23b1c752d1b4fe995cb99e81828d032,2022-01-11T16:00:00Z,LONG,STOP,-1.0,RECOVERY_TARGET,d44e616c64434a6e4db2333f91bb2ab30d68f27842ab73fb8755e155a93e6891,,,2022-01-11T17:00:00Z,2022-01-11T17:05:00Z,1801.78,TARGET,2022-01-11T17:58:00Z,-0.25,0.0,0.3061983471074437,0.0561983471074437,1.0561983471074436
25791703e5e1175a30f1c4d69e7a7ea54ad8de40a239b5362f22f6b79134a1e1,2022-01-12T04:00:00Z,SHORT,STOP,-1.0,CONFIRMED_ADDITION_STOP,6d499f6f5f13372c5822f70334af9ce4f1e3b11d0008790054a9ff94342fc5b0,2022-01-12T05:55:00Z,2022-01-12T05:55:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
b8000d62719176f83b86d125cc59ad1208fc78f336433a22af7130e5c8a4821c,2022-01-12T09:00:00Z,LONG,STOP,-1.0,PROBE_STOP_H1_CLOSE_INVALIDATED,f19876c730312731b4804428c95188cc4a0c1a8088845d6030768635d722c4b4,,,2022-01-12T10:00:00Z,,,,,-0.25,0.0,0.0,-0.25,0.75
c1d20f7073c73a432e6afd9087d428e44646edbf21ea4b4efe76f718a9c3c2d7,2022-01-12T13:00:00Z,LONG,TARGET,1.4890510948904794,CONFIRMED_ADDITION_TARGET,f55181f6396f3d843a97e19af7d622e651dcb111f6320859abbe9c3188b88f74,2022-01-12T13:30:00Z,2022-01-12T13:30:00Z,,,,,,0.37226277372261984,0.7456140350876735,0.0,1.1178768088102933,-0.3711742860801861
bf7198a356262b4c6a5d9219d1e23dc22f53b51ef39d4cbab12c9b141039f4e2,2022-01-12T18:00:00Z,SHORT,STOP,-1.0,CONFIRMED_ADDITION_STOP,7ddd4c562026eee0ea146519c6d376c3f647346de131ac8080c4df08c6f7bff5,2022-01-12T18:20:00Z,2022-01-12T18:20:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
db2d5946ef0109da4f32e4b40840a14f4703e7437dafe739724992ed2079b665,2022-01-13T04:00:00Z,SHORT,STOP,-1.0,CONFIRMED_ADDITION_STOP,e50a00309278052c6c36df2ecf30f2e2e3be771005bf693155157f670faa0c4b,2022-01-13T04:10:00Z,2022-01-13T04:10:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
c3d51d422d5d97e4b7801b003c24480938837e0443b5084141dce0cf366fe1ba,2022-01-13T07:00:00Z,LONG,TARGET,1.0101010101010008,CONFIRMED_ADDITION_TARGET,1e4f5c65c4c5c8b6e1b639dda7e7e1bb2d75e1b6f2cf66016cfab104eaf09ba5,2022-01-13T07:15:00Z,2022-01-13T07:15:00Z,,,,,,0.2525252525252502,0.29006968641111175,0.0,0.542594938936362,-0.4675060711646388
35d199fe8ed45e3ce5c46bcd52c2f3a6dd138084cf38d2df67d40c907a06becd,2022-01-13T10:00:00Z,SHORT,TARGET,1.7350993377484332,PROBE_ONLY_TARGET,d49c9de2aa9289487b89e54ba9a02b7945ddd76601beff8de864396490be10e2,,,,,,,,0.4337748344371083,0.0,0.0,0.4337748344371083,-1.3013245033113248
8b905bfc8a795fa28807cba4389de03ad4846cef1ba6fbdb05c6c81efaebb85a,2022-01-13T14:00:00Z,LONG,STOP,-1.0,CONFIRMED_ADDITION_STOP,e40054ecc8b847acc2b6bcf2f79855d5e366041100024d6e5ec05ab12abeaba4,2022-01-13T14:25:00Z,2022-01-13T14:25:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
44a31d5a88f4c7f6c1a399de697617f3da7aa36d391e2d3ee13afd0eab08efb5,2022-01-13T21:00:00Z,LONG,TARGET,0.6691086691086668,CONFIRMED_ADDITION_TARGET,d9d24e7ff4e4ffb35c9238041038907f88b88f7691dffbbb2cb12b12a6eb3d54,2022-01-13T22:10:00Z,2022-01-13T22:10:00Z,,,,,,0.1672771672771667,0.28560606060605664,0.0,0.4528832278832233,-0.21622544122544352
5b79dc53745f01a72a7aad4c1ad36cefd4932f2ebb01c484c464bea0c8a25ba7,2022-01-14T05:00:00Z,LONG,TARGET,0.14183123877916345,PROBE_ONLY_TARGET,773cac16308345e925bec77c3b3c96c64032d34b243723c42d60e56f7fe55cf1,,,,,,,,0.035457809694790864,0.0,0.0,0.035457809694790864,-0.10637342908437258
6a1dda3c49a98d29fc0927c67a5c43888197991df54b4696d5470129fa8697d1,2022-01-14T13:00:00Z,SHORT,TARGET,0.7266187050360127,CONFIRMED_ADDITION_TARGET,615b25ab987178571a4e646249aaa68800c9e15b1017bd574bb2b38934a839f4,2022-01-14T13:15:00Z,2022-01-14T13:15:00Z,,,,,,0.18165467625900317,0.2904624277456686,0.0,0.4721171040046718,-0.2545016010313409
3cdb71a6acb9b39b2c718f756165c8ec42ce6b750a776a56f668012b78b55e7e,2022-01-14T18:00:00Z,SHORT,TARGET,0.23565891472872125,CONFIRMED_ADDITION_TARGET,0596c56f10e9c9cd2385bcf061975b76aee64e384ab19dcd2218222bf5043b1c,2022-01-14T18:20:00Z,2022-01-14T18:20:00Z,,,,,,0.05891472868218031,0.13950892857142802,0.0,0.19842365725360833,-0.037235257475112915
48fb1b3673e435307bd583c9015ecc69976f22e02aac98f81c60c21e77c927b6,2022-01-14T23:00:00Z,LONG,STOP,-1.0,CONFIRMED_ADDITION_STOP,fa1e25101995c2d2b5e956722038cb4ded8615156d2abf040a4080b7613420f8,2022-01-17T01:25:00Z,2022-01-17T01:25:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
cf457d1ba9e05bd4398dc92ba8d87e37beaa369cf545e2c556beb24bfd425a0a,2022-01-17T06:00:00Z,LONG,STOP,-1.0,CONFIRMED_ADDITION_STOP,d615aadf584305678041ff21cba1a8db9835808293586f8930b669b7148d2e3f,2022-01-17T06:05:00Z,2022-01-17T06:05:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
0c8ca64d0c8b3fe7af90fdbf0833270f57fded083ff204bed4bb5fe15d12d778,2022-01-17T13:00:00Z,SHORT,TARGET,3.3318965517239105,CONFIRMED_ADDITION_TARGET,d897a4151d9d4522759578ec666cc481aea4773caeb5a32beeb91c6076f3d98d,2022-01-17T14:20:00Z,2022-01-17T14:20:00Z,,,,,,0.8329741379309776,1.4035714285714675,0.0,2.2365455665024454,-1.0953509852214651
3ea872df9bf0d40ff30cad9c24487b2d774e48ec44ccd347bfc64456daa4550d,2022-01-17T19:00:00Z,SHORT,STOP,-1.0,CONFIRMED_ADDITION_STOP,fdc105cb25fb202c688f34fdb9029e17016284355951658c591d23650cd3690f,2022-01-17T20:55:00Z,2022-01-17T20:55:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
08aa24c565629cc0fa794c96bf4d4f23fdb903a93ccf1cc4481753b7807db656,2022-01-17T20:00:00Z,LONG,TARGET,1.3937500000000906,CONFIRMED_ADDITION_TARGET,e66be67203df060715217a81dbbda0a9a44641c4e757208d3aa1614da190c530,2022-01-18T02:45:00Z,2022-01-18T02:45:00Z,,,,,,0.34843750000002266,0.4082661290322276,0.0,0.7567036290322502,-0.6370463709678404
9825701365013fa0ac3a79e1d0ee287099d99eafdcae24fa8c625fa3a1485dd8,2022-01-18T08:00:00Z,LONG,STOP,-1.0,PROBE_STOP_LATER_H1_INVALIDATED,dfef194d05cc1ff42d513afc323619667c964a55b3365394964ed14de82edfec,,,2022-01-18T10:00:00Z,,,,,-0.25,0.0,0.0,-0.25,0.75
43f05b12b5059e03a06c8bc6227a8ac20c30d2a4255666bf4fc5f5741d4dfd0f,2022-01-18T14:00:00Z,LONG,STOP,-1.0,CONFIRMED_ADDITION_STOP,1d6c97e1c6927d634627d6a1ae9533632428a2c683faddb41c548053b529db02,2022-01-18T14:30:00Z,2022-01-18T14:30:00Z,,,,,,-0.25,-0.75,0.0,-1.0,0.0
