trade_identity,pivot_at,decision_at,direction,control_outcome,control_r,executed,route,entry_at,entry_price,stop,target,outcome,resolution_at,net_r,exposure_segment
bf5194124e1865b65c908cfa0cf317b9fb60a2a24b3ecdf9ffc87e1dbe3e1848,2022-02-22T17:00:00Z,2022-02-22T20:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-22T20:10:00Z,1904.84,1893.92,1907.21,STOP,2022-02-23T08:12:00Z,-1.0,NEWLY_OPENED_FEB_17_28
860fed3e7be2b8c66bdb177d2f77456d4de15c3124ca09387373e0ff35b4b45b,2022-02-22T20:00:00Z,2022-02-22T23:00:00Z,SHORT,TARGET,1.3228346456693156,True,INITIAL_CONFIRMATION_TARGET,2022-02-23T06:55:00Z,1896.97,1905.72,1893.92,TARGET,2022-02-23T08:12:00Z,0.34857142857142337,NEWLY_OPENED_FEB_17_28
d9ca95b73558f0ef20ad3ec5521101e9cbe9ef5a97878a7add990e02636a6f9b,2022-02-22T22:00:00Z,2022-02-23T04:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1905.72,,,0.0,NEWLY_OPENED_FEB_17_28
778e0a0833a0d43a905f62b30875664ce992a55b71294ff78cc51e30459b57f7,2022-02-23T11:00:00Z,2022-02-23T14:00:00Z,LONG,TARGET,0.7405189620758569,True,INITIAL_CONFIRMATION_TARGET,2022-02-23T14:50:00Z,1896.32,1889.67,1898.39,TARGET,2022-02-23T15:20:00Z,0.3112781954887528,NEWLY_OPENED_FEB_17_28
33c27d3e2602ff28de134c22ddd9d50b2544c3f4622f418fa34220187966b335,2022-02-23T19:00:00Z,2022-02-23T22:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-23T22:20:00Z,1906.52,1910.46,1889.67,STOP,2022-02-24T01:02:00Z,-1.0,NEWLY_OPENED_FEB_17_28
ffc5556a307d4b766e4249b4bf5c20fe0fc176ae3f3a374f6d9f32787786e942,2022-02-24T06:00:00Z,2022-02-24T09:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1904.64,,,0.0,NEWLY_OPENED_FEB_17_28
4099c8738792605ed9369f19ae6fa7534e15dc8505ab3fcf5e0656fc1d853516,2022-02-24T12:00:00Z,2022-02-24T15:00:00Z,SHORT,TARGET,5.0302506482280895,True,INITIAL_CONFIRMATION_TARGET,2022-02-24T16:35:00Z,1945.63,1974.41,1904.64,TARGET,2022-02-24T21:14:00Z,1.4242529534398904,NEWLY_OPENED_FEB_17_28
1f3b2de5ba3289b10cd05985064142d2e5a2692ae04af100dfe02059afca9ee5,2022-02-24T17:00:00Z,2022-02-24T20:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1974.41,,,0.0,NEWLY_OPENED_FEB_17_28
dc1205407b7f4068a4c3e3ebedcd3d047f99ac06a467fff91205a6618a96f874,2022-02-24T21:00:00Z,2022-02-25T03:00:00Z,LONG,TIME_EXIT,-0.1109826589595355,True,INITIAL_CONFIRMATION_TIME_EXIT,2022-02-25T03:05:00Z,1914.91,1878.17,1974.41,TIME_EXIT,2022-02-28T23:59:00Z,-0.16276537833424107,NEWLY_OPENED_FEB_17_28
3afdac5cebe281202f3edb3ab8a456f672950252a2248d4e8f02860186b9917c,2022-02-25T03:00:00Z,2022-02-25T06:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-25T06:30:00Z,1912.13,1921.93,1878.17,STOP,2022-02-28T01:02:00Z,-1.0,NEWLY_OPENED_FEB_17_28
9feee64859f5239d1312c3bf17c54553844a0b30163ed64d7910c8c49a27589f,2022-02-25T09:00:00Z,2022-02-25T12:00:00Z,SHORT,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-02-25T12:30:00Z,1907.5,1921.3,1878.17,STOP,2022-02-28T01:02:00Z,-1.0,NEWLY_OPENED_FEB_17_28
b8d07cfa683057a6e6a33f0ab45ec066b5e50b34dd82e3b88c5d9b28bf3b2a3a,2022-02-25T17:00:00Z,2022-02-25T20:00:00Z,LONG,TARGET,7.594170403587357,True,INITIAL_CONFIRMATION_TARGET,2022-02-25T20:05:00Z,1887.18,1882.97,1921.3,TARGET,2022-02-28T01:02:00Z,8.10451306413292,NEWLY_OPENED_FEB_17_28
4ce2ae7e986720d71c4d155692bf029a0d87186e7d977091eaf50d9e520e0982,2022-02-28T02:00:00Z,2022-02-28T05:00:00Z,SHORT,TIME_EXIT,0.056008146639506935,True,INITIAL_CONFIRMATION_TIME_EXIT,2022-02-28T05:15:00Z,1908.4,1919.3,1882.97,TIME_EXIT,2022-02-28T23:59:00Z,-0.04862385321100728,NEWLY_OPENED_FEB_17_28
ce3cf0511f9065c915f010f9bf02e65f3b9db740da4157746f7a3ef7c08c2c41,2022-02-28T05:00:00Z,2022-02-28T08:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1919.3,,,0.0,NEWLY_OPENED_FEB_17_28
6b4f52c4dd6d823f50cf8be9fc9459f1007d8885534cb37a46b86878a5bb213c,2022-02-28T09:00:00Z,2022-02-28T12:00:00Z,LONG,TARGET,1.879019908116391,True,INITIAL_CONFIRMATION_TARGET,2022-02-28T12:15:00Z,1902.52,1893.17,1911.97,TARGET,2022-02-28T14:59:00Z,1.01069518716579,NEWLY_OPENED_FEB_17_28
95862b1ba128517d0fa823ba24992987c7641d0d7333925f09ca817bc8ee424a,2022-02-28T15:00:00Z,2022-02-28T18:00:00Z,SHORT,TARGET,1.5145145145145014,True,INITIAL_CONFIRMATION_TARGET,2022-02-28T18:05:00Z,1907.01,1918.29,1893.17,TARGET,2022-02-28T18:51:00Z,1.2269503546099247,NEWLY_OPENED_FEB_17_28
e4c93a12450da54250bd7f737da1addf63153d63bf9ab5e55ed687c7cff1668f,2022-02-28T19:00:00Z,2022-02-28T22:00:00Z,LONG,TIME_EXIT,0.15786082474227114,True,INITIAL_CONFIRMATION_TIME_EXIT,2022-02-28T22:05:00Z,1905.35,1890.96,1918.29,TIME_EXIT,2022-02-28T23:59:00Z,0.2487838776928552,NEWLY_OPENED_FEB_17_28
