control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
TARGET,0.7537796976241743,2023-03-01T05:00:00Z,LONG,2023-03-01T05:25:00Z,1830.43,EXPOSED_HISTORICAL_REGRESSION,True,0.09878213802435837,TARGET,2023-03-01T02:00:00Z,2023-03-01T05:32:00Z,INITIAL_CONFIRMATION_TARGET,1823.04,1831.16,a12f52f95ccdf462f4a403b0d34280116c9b980c7ff8618c8644b38060c7f53f
STOP,-1.0,2023-03-01T11:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-03-01T08:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1823.04,e095529088b68f191a5ea327d0db7c361032e210d744b3b46e79d1095e34a45f
TARGET,0.2892561983471311,2023-03-01T14:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-03-01T11:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1836.7,f77a33d65ae357c8db824f8a5f29f94130ca6d8fcc37ec05ba88a05f8ceaa11d
TARGET,0.9394773039889882,2023-03-01T20:00:00Z,SHORT,2023-03-02T02:00:00Z,1836.45,EXPOSED_HISTORICAL_REGRESSION,True,0.7385943279901459,TARGET,2023-03-01T17:00:00Z,2023-03-02T09:18:00Z,INITIAL_CONFIRMATION_TARGET,1844.56,1830.46,83ed54c25c6872fd32094825d461563c78eb91640ae3071cb568822652bc54c6
STOP,-1.0,2023-03-01T23:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-03-01T20:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1844.56,9fa985b0c37b3f17a9a7e7235cc42100ad93152f3d7ace06b2f35bafd59565bb
STOP,-1.0,2023-03-02T06:00:00Z,LONG,2023-03-02T07:05:00Z,1834.6,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-03-02T03:00:00Z,2023-03-02T09:16:00Z,INITIAL_CONFIRMATION_STOP,1831.06,1844.56,a40c138fa6c71d52b5116cad6c5b9cabf2fbb499a62c7051dbceda22862cbfc9
TARGET,7.89024390243967,2023-03-02T13:00:00Z,LONG,2023-03-02T13:10:00Z,1832.93,EXPOSED_HISTORICAL_REGRESSION,True,3.942372881355831,TARGET,2023-03-02T10:00:00Z,2023-03-03T09:05:00Z,INITIAL_CONFIRMATION_TARGET,1829.98,1844.56,0c05b2c11d5dce35a2766879de43bf041d13018c1f86c8be5b06d15aeb59b156
TARGET,1.1873111782476977,2023-03-02T18:00:00Z,LONG,2023-03-03T02:05:00Z,1839.33,EXPOSED_HISTORICAL_REGRESSION,True,0.5654054054054074,TARGET,2023-03-02T15:00:00Z,2023-03-03T09:05:00Z,INITIAL_CONFIRMATION_TARGET,1830.08,1844.56,c957d257c1ed24fe8558f40d1b73a370d933aeb91e50d7eef542618379c607a5
STOP,-1.0,2023-03-02T20:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-03-02T17:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1830.08,c0869c7e09552a5aac78284a42fc52da8521af43f4c2b1ed9027db2ee131aa65
TARGET,1.009063444108822,2023-03-02T22:00:00Z,LONG,2023-03-02T22:40:00Z,1837.31,EXPOSED_HISTORICAL_REGRESSION,True,0.3273453093812581,TARGET,2023-03-02T19:00:00Z,2023-03-03T02:00:00Z,INITIAL_CONFIRMATION_TARGET,1832.3,1838.95,c3f0e8c2e92d503c5f5c0b73e886d6922128b288eba2bdd823b234ed12c50692
