broken_m5_control_identity,broken_m5_control_level,confirmation_at,confirmation_bar_identity,control_entry_at,control_entry_price,control_stop,deadline,decision_at,delta_vs_original_r,direction,distance_ratio_to_control,dollars_at_50_max_case_risk,effective_stop_policy,entry_at,entry_policy,entry_price,filled,geometry_sha256,mae_r,mfe_r,month,net_r,original_net_r,original_outcome,original_resolution_at,outcome,policy_result_sha256,resolution_at,retest_disposition,retest_expiry_at,retest_fill_at,retest_level,retest_opportunity,retest_used,route,row_sha256,source_h1_swing_identity,stop,stop_atr14,stop_buffer,stop_fallback_reason,stop_policy,stop_replaced_control,stop_source_identity,stop_source_known_at,stop_source_level,target,trade_identity
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,0.0,LONG,1.0,61.82519280205426,CONTROL_V2_FILLED_STOP,2022-06-01T15:15:00Z,CONTROL_NEXT_M1_OPEN,1832.4,True,d7e15946aa6c9d4e48218783396dcd1aaae1ee2f48e4b7f57c76cbd9bbfc1487,0.0,1.3084832904883772,2022_06,1.2365038560410853,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,TARGET,42f8ba646a1191c42333d517dd64750e25bb807118ed8cf5d18f58d251be4e0b,2022-06-01T15:37:00Z,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,308381bd1c42ced6e314f6e210f0e223d02fd02735d1b03e1a6da65d4acd1c29,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1828.51,,,,CONTROL_V2_FILLED_STOP,False,,2022-06-01T15:15:00Z,1828.51,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,0.1252344127677414,LONG,0.9080334190231069,68.08691344044134,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2022-06-01T15:15:00Z,CONTROL_NEXT_M1_OPEN,1832.4,True,e2c0a1d57ca337d0363cabe6b99ececec5ba10e1ac8c53ff3651f2d27a22efaf,0.0,1.4410078561823065,2022_06,1.3617382688088266,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,TARGET,8a31eb5f22bf945fecd0967e29b490590aa5a3af9dcef8ae687fb01cc71621d5,2022-06-01T15:37:00Z,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,393616ca5f3c542af122ec027c4720f3bd7afe473adbd7bc6ef97e711fa942f7,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1828.8677500000001,1.2450000000000208,0.06225000000000104,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,0acdf73cdd6b923cdd710a35a9e2c58eaaee5f4086284c1d0ddf2af5f05d9360,2022-06-01T15:15:00Z,1828.93,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,0.24273214294833445,LONG,0.835907087770874,73.96179994947099,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2022-06-01T15:15:00Z,CONTROL_NEXT_M1_OPEN,1832.4,True,f5895b4b0d331aaeea687b2b0c3ff4672d2631e1326c490c98f70acc3142fc72,0.0,1.5653453710719565,2022_06,1.4792359989894197,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,TARGET,0ca7adaf4756ef543766cef7e79491e775fd92d5561d62b3e9e7b7f17b0ec19d,2022-06-01T15:37:00Z,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,a321ece6d78a79a6892d43e877d99407ae2b535597dd5712b3a64bb8223083f2,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1829.1483214285713,2.233571428571411,0.11167857142857057,,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,1777f56dd37957fb0fd2c568a9fd58fcccc7015d38ef8463fd9e81f27eaa32b7,2022-06-01T15:00:00Z,1829.26,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,0.0,LONG,1.0,61.82519280205426,CONTROL_V2_FILLED_STOP,2022-06-01T15:15:00Z,CONTROL_NEXT_M1_OPEN,1832.4,True,3138ababbea70f6c04187e351b86cddb477cbb717fcb121b48e09189d97e2512,0.0,1.3084832904883772,2022_06,1.2365038560410853,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,TARGET,c8d723d08e749fe9462a2d7cfcca386d7db94172d555b4648d39d711dd530c5b,2022-06-01T15:37:00Z,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,a3033e690bb589c50cbda2b8271be5571299a6f2ac2510bbb9ae68f7cdf40154,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1828.51,3.8664285714286115,0.1933214285714306,NOT_STRICTLY_CLOSER_THAN_CONTROL,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,False,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,2022-06-01T15:00:00Z,1828.51,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,-1.2365038560410853,LONG,1.0,0.0,CONTROL_V2_FILLED_STOP,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,d7e15946aa6c9d4e48218783396dcd1aaae1ee2f48e4b7f57c76cbd9bbfc1487,,,2022_06,0.0,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,NO_FILL,4f2f515c185e991d7395669d8725ebf930729b86565e1ab7ab9c0f9973708b26,,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,47d8aff90fa8d88d7970bfc5b6b372a9a81a0d74927f0fd18bcc55e6dede9fd8,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1828.51,,,,CONTROL_V2_FILLED_STOP,False,,2022-06-01T15:15:00Z,1828.51,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,-1.2365038560410853,LONG,0.9080334190231069,0.0,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,e2c0a1d57ca337d0363cabe6b99ececec5ba10e1ac8c53ff3651f2d27a22efaf,,,2022_06,0.0,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,NO_FILL,fb60245cd1f4dcb35cfc83d6bd58b0b3d973d9cd303e6344ce3eb5cd3080c767,,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,6e37b5d6bd09ca5de257eb4331f106be4a865c63c0f5f52faf59ffde1d51705c,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1828.8677500000001,1.2450000000000208,0.06225000000000104,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,0acdf73cdd6b923cdd710a35a9e2c58eaaee5f4086284c1d0ddf2af5f05d9360,2022-06-01T15:15:00Z,1828.93,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,-1.2365038560410853,LONG,0.835907087770874,0.0,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,f5895b4b0d331aaeea687b2b0c3ff4672d2631e1326c490c98f70acc3142fc72,,,2022_06,0.0,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,NO_FILL,7146612eb3f0bed18b6778432edb1fad625e3c13f4ca2dbaa40a558a34e0a7df,,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,3c110b5ec426adfb4d4574d801e78a60b6aa7f09059480d920967f307d853226,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1829.1483214285713,2.233571428571411,0.11167857142857057,,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,1777f56dd37957fb0fd2c568a9fd58fcccc7015d38ef8463fd9e81f27eaa32b7,2022-06-01T15:00:00Z,1829.26,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,-1.2365038560410853,LONG,1.0,0.0,CONTROL_V2_FILLED_STOP,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,3138ababbea70f6c04187e351b86cddb477cbb717fcb121b48e09189d97e2512,,,2022_06,0.0,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,NO_FILL,3491e0815789005376377ebe94f2331f8ea9c8709a3c8268eeb1ef2fa4a820ec,,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,581d68ee158fe8085b2b6b8aff07535113566c4953f1171a59e0873625663334,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1828.51,3.8664285714286115,0.1933214285714306,NOT_STRICTLY_CLOSER_THAN_CONTROL,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,False,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,2022-06-01T15:00:00Z,1828.51,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,-0.927377892030814,LONG,1.0,15.456298200513565,CONTROL_V2_FILLED_STOP,2022-06-01T15:15:00Z,CONFIRMED_25_75_RETEST_SPLIT,1832.4,True,d7e15946aa6c9d4e48218783396dcd1aaae1ee2f48e4b7f57c76cbd9bbfc1487,0.0,0.3271208226220943,2022_06,0.3091259640102713,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,SPLIT_CONTROL_TARGET_NO_RETEST,e5fbd47ceb4f1db5ae21fdb4a05958e83252003f3c7e913d7600905ba7c09fc6,2022-06-01T15:37:00Z,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,04b4e5e82a83cb2cf90638f11274835527559b2639d5319b8d125e01d517a903,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1828.51,,,,CONTROL_V2_FILLED_STOP,False,,2022-06-01T15:15:00Z,1828.51,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
d26c898d2c3250e33ccc559cb08fd58a5f22c13760079c6d2931345fa48dec0d,1831.34,2022-06-01T15:15:00Z,f775cf8c528212a12c0c46440303321f111b4fd6ea5fb43d651dc73b6323ec9e,2022-06-01T15:15:00Z,1832.4,1828.51,2022-07-01T00:00:00Z,2022-06-01T15:00:00Z,-0.8960692888388786,LONG,0.9080334190231069,17.021728360110334,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2022-06-01T15:15:00Z,CONFIRMED_25_75_RETEST_SPLIT,1832.4,True,e2c0a1d57ca337d0363cabe6b99ececec5ba10e1ac8c53ff3651f2d27a22efaf,0.0,0.36025196404557663,2022_06,0.34043456720220666,1.2365038560410853,TARGET,2022-06-01T15:37:00Z,SPLIT_CONTROL_TARGET_NO_RETEST,4529d0f0146641519edcb12d7c98298f9a32d21fb57b6e0c1b6efd8522feaadc,2022-06-01T15:37:00Z,RETEST_EXPIRED,2022-06-01T15:30:00Z,,1831.34,False,False,INITIAL_CONFIRMATION_TARGET,4e3eca52f33393fe99370c87fe8e9b9b61638a8f39b78f74b828a66b7d758534,650eb316a1ffda4e793dd8cbbcc52b80077dafd5820c77fd5bb15c929aad580e,1828.8677500000001,1.2450000000000208,0.06225000000000104,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,0acdf73cdd6b923cdd710a35a9e2c58eaaee5f4086284c1d0ddf2af5f05d9360,2022-06-01T15:15:00Z,1828.93,1837.21,1bba16574c4d8f94ff47122547db3f588b16043a79a55f3a02a458c240f746fe
