control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
STOP,-1.0,2023-11-01T10:00:00Z,LONG,2023-11-01T11:55:00Z,1982.04,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-11-01T07:00:00Z,2023-11-01T19:37:00Z,INITIAL_CONFIRMATION_STOP,1975.25,2007.89,5f0346a9080578abc782daa06b56e4228504a3b5ccc79fbd9b4256bbc39aeaea
TARGET,0.1859971711456954,2023-11-01T20:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-11-01T17:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,1975.25,9777065d09b7e92f31dc8baed0d8213e492c044c591a71c1e21c5cc6433db319
TARGET,0.5916606757728328,2023-11-02T02:00:00Z,LONG,2023-11-02T02:05:00Z,1984.47,EXPOSED_HISTORICAL_REGRESSION,True,0.517477724468814,TARGET,2023-11-01T21:00:00Z,2023-11-03T15:30:00Z,INITIAL_CONFIRMATION_TARGET,1969.88,1992.02,411640acd65c6621823302e9ccf08f26a53698b12b178e048f9310000dfe4d7c
STOP,-1.0,2023-11-02T07:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-11-02T04:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1969.88,67408752142b674265418156493dce57180ed167c176c126325ea1169989c8f9
TARGET,1.3663366336633742,2023-11-02T09:00:00Z,LONG,2023-11-02T11:40:00Z,1987.72,EXPOSED_HISTORICAL_REGRESSION,True,0.10648148148149147,TARGET,2023-11-02T06:00:00Z,2023-11-02T11:40:00Z,INITIAL_CONFIRMATION_TARGET,1983.4,1988.18,6bca85c52ec21072c0a12a423ce80b0e4b3dd1a17cf3dac8fa51c368516fea59
STOP,-1.0,2023-11-02T11:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-11-02T08:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1983.4,08b25345274b0cb6a70dcf439467c4bcb8f521e154dbb88560de639f1249668e
TARGET,0.9645161290322539,2023-11-02T21:00:00Z,LONG,2023-11-03T05:35:00Z,1986.76,EXPOSED_HISTORICAL_REGRESSION,True,0.5398230088495496,TARGET,2023-11-02T18:00:00Z,2023-11-03T15:30:00Z,INITIAL_CONFIRMATION_TARGET,1978.85,1991.03,ae17aae55a4132b9619ea869b86378264370fa459bbcb87ae26196359dbb949c
STOP,-1.0,2023-11-02T23:00:00Z,SHORT,2023-11-03T04:35:00Z,1983.61,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-11-02T20:00:00Z,2023-11-03T05:34:00Z,INITIAL_CONFIRMATION_STOP,1986.7,1978.85,b13f2c602cee381ef73eda9540bd7c331cbd3c2683bb54a172b17e23d13981bc
STOP,-1.0,2023-11-03T04:00:00Z,SHORT,2023-11-03T04:15:00Z,1984.74,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-11-03T01:00:00Z,2023-11-03T05:33:00Z,INITIAL_CONFIRMATION_STOP,1986.57,1978.85,5f6d141757330d7f3bdec59232f6e0da21bbeaaa22537f37a47ca6c50a8a2332
TARGET,0.29527559055118535,2023-11-03T07:00:00Z,LONG,2023-11-03T07:05:00Z,1986.51,EXPOSED_HISTORICAL_REGRESSION,True,0.018575851393171854,TARGET,2023-11-03T04:00:00Z,2023-11-03T07:12:00Z,INITIAL_CONFIRMATION_TARGET,1983.28,1986.57,b624520502b00eac6274deffacaded4c8be0fb1be54ac91ad5adf5544921eebc
STOP,-1.0,2023-11-03T08:00:00Z,SHORT,2023-11-03T10:55:00Z,1986.36,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-11-03T05:00:00Z,2023-11-03T12:01:00Z,RECLAIM_CONFIRMATION_STOP,1989.19,1983.28,c4925da481e970725e43138b36eebea13be583d20be7a6fa88a558a3741fe5f9
STOP,-1.0,2023-11-03T15:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-11-03T12:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1984.62,703fd0aed2073abb19da5abec6d1d54b4ac71ba8952b6a9dc714a5e392abddee
TARGET,1.0494736842105292,2023-11-03T18:00:00Z,SHORT,2023-11-06T01:40:00Z,1987.87,EXPOSED_HISTORICAL_REGRESSION,True,0.20036991368680607,TARGET,2023-11-03T15:00:00Z,2023-11-06T05:24:00Z,INITIAL_CONFIRMATION_TARGET,2004.09,1984.62,51e86add7233d770f7296048db69a588fb0bec505dd16f1971fee79d4aada49b
TARGET,1.308641975308572,2023-11-06T03:00:00Z,SHORT,2023-11-06T04:55:00Z,1987.35,EXPOSED_HISTORICAL_REGRESSION,True,0.20025673940948743,TARGET,2023-11-03T22:00:00Z,2023-11-06T05:23:00Z,INITIAL_CONFIRMATION_TARGET,1995.14,1985.79,8c30532f758b9286d8f2f384778390266ccef8f00a0929df5b174c409aca7f1d
