control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
TARGET,2.7236180904522285,2023-04-03T09:00:00Z,LONG,2023-04-03T09:20:00Z,1954.71,EXPOSED_HISTORICAL_REGRESSION,True,1.981891348088502,TARGET,2023-04-03T06:00:00Z,2023-04-03T11:15:00Z,INITIAL_CONFIRMATION_TARGET,1949.74,1964.56,7047c7dc5d70b77a4e4f9da06cdfd474b0297a34c504c7d4b15e2a119108a980
STOP,-1.0,2023-04-03T22:00:00Z,SHORT,2023-04-03T22:05:00Z,1983.29,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-04-03T19:00:00Z,2023-04-04T16:42:00Z,INITIAL_CONFIRMATION_STOP,1990.55,1949.74,3572a1fbc99397fbdf4326ea9dc02e6a65fa4cbe34430a2a060fa0666eaf417e
STOP,-1.0,2023-04-03T23:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-04-03T20:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1990.55,0a739ced89173dabced9e95037cc6fc429f30aa29dbd94958301e5a40faccf77
STOP,-1.0,2023-04-04T07:00:00Z,LONG,2023-04-04T07:45:00Z,1980.41,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-04-04T04:00:00Z,2023-04-04T09:32:00Z,INITIAL_CONFIRMATION_STOP,1977.85,1990.55,f579afee2906e02053d60f32b563a17746e58b3505d70cc2f508df76b9256d13
TARGET,2.706849315068393,2023-04-04T12:00:00Z,LONG,2023-04-04T15:15:00Z,1984.23,EXPOSED_HISTORICAL_REGRESSION,True,0.8765603328709992,TARGET,2023-04-04T09:00:00Z,2023-04-04T16:42:00Z,INITIAL_CONFIRMATION_TARGET,1977.02,1990.55,b324b97ed18669fb8655595357c23ffe112c586336d610a931440492130bb55d
STOP,-1.0,2023-04-04T22:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-04-04T19:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,1978.52,998f91051b5ee11ccc167203a61656da6019ba90e4c8766dc94f2ebb79c107cc
STOP,-1.0,2023-04-05T05:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-04-05T02:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,1978.52,2748fe08bf698d513edf9c742ef4fd45251811f88fe4309f1cfb5669bc45def7
STOP,-1.0,2023-04-05T08:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-04-05T05:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2019.42,061810c14ec091eeb383e077322d6d7a6c510966a37b3ab59e41ae6edbc406e0
STOP,-1.0,2023-04-05T13:00:00Z,SHORT,2023-04-05T13:30:00Z,2022.22,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-04-05T10:00:00Z,2023-04-05T15:15:00Z,INITIAL_CONFIRMATION_STOP,2028.39,2019.42,51b9bfe8a007b71956acbb5f5538f132e642ede9683ef2b9a5b613f815320b69
TARGET,0.2222222222222198,2023-04-05T19:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2023-04-05T16:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2019.42,1f07a36bfe0a453afeeb91ee44dd8d5442f7bd7011021f095c3236051cc19002
STOP,-1.0,2023-04-05T20:00:00Z,LONG,2023-04-05T21:15:00Z,2021.68,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-04-05T17:00:00Z,2023-04-06T05:30:00Z,INITIAL_CONFIRMATION_STOP,2010.06,2032.07,8caa9c59b5da497a4aef25a0ce8081c1859c4d55bd0e5c33a7a0fa43ae6ffd60
STOP,-1.0,2023-04-06T08:00:00Z,LONG,2023-04-06T08:05:00Z,2012.76,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-04-06T05:00:00Z,2023-04-06T16:42:00Z,INITIAL_CONFIRMATION_STOP,2008.04,2032.07,be7e633c77523ad016957c5f6c56492fee9e11c53f0e564e128b2f7fd8b8386e
STOP,-1.0,2023-04-06T19:00:00Z,LONG,2023-04-06T19:10:00Z,2013.59,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-04-06T16:00:00Z,2023-04-10T01:04:00Z,INITIAL_CONFIRMATION_STOP,2000.84,2020.95,257594766be90865ce7cdc2e399ac5583f3dcbf38d6d746db71f1c1356f43d4d
TARGET,1.4771929824561414,2023-04-06T22:00:00Z,SHORT,2023-04-06T22:05:00Z,2008.5,EXPOSED_HISTORICAL_REGRESSION,True,1.1857585139318945,TARGET,2023-04-06T19:00:00Z,2023-04-10T01:04:00Z,INITIAL_CONFIRMATION_TARGET,2014.96,2000.84,5019c3f75b0611a544dcd0d6e99471c8d79ace39a4635a67ecbfea20712d1b3c
STOP,-1.0,2023-04-10T08:00:00Z,LONG,2023-04-10T08:40:00Z,1994.2,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2023-04-10T05:00:00Z,2023-04-10T16:00:00Z,INITIAL_CONFIRMATION_STOP,1988.88,2014.96,79169d01ca95e664f413dbe693493e368951952f5ddad68ca4d1ca333bfdb680
TARGET,1.6537982565379847,2023-04-10T20:00:00Z,LONG,2023-04-10T20:05:00Z,1990.95,EXPOSED_HISTORICAL_REGRESSION,True,1.306277056277048,TARGET,2023-04-10T17:00:00Z,2023-04-11T10:36:00Z,INITIAL_CONFIRMATION_TARGET,1981.71,2003.02,17e32e7e322b5efe8114b26fdb973e35396b75c99127946bea468c32ad5104a0
TARGET,0.6344827586206843,2023-04-11T07:00:00Z,LONG,2023-04-11T07:05:00Z,1998.24,EXPOSED_HISTORICAL_REGRESSION,True,0.506355932203384,TARGET,2023-04-11T04:00:00Z,2023-04-11T10:36:00Z,INITIAL_CONFIRMATION_TARGET,1988.8,2003.02,f7fcdb8d49dfbbf18ef183880d632b5c166c86bfaf59cabb916db10755fa6563
TARGET,2.1197411003237394,2023-04-11T14:00:00Z,SHORT,2023-04-11T14:15:00Z,2001.52,EXPOSED_HISTORICAL_REGRESSION,True,0.6147403685092221,TARGET,2023-04-11T11:00:00Z,2023-04-11T16:06:00Z,INITIAL_CONFIRMATION_TARGET,2007.49,1997.85,f5c531e166156ab2d930f9de3d1eea27e1989acf200031286895f3cddeb77b32
