control_outcome,control_r,decision_at,direction,entry_at,entry_price,evidence_segment,executed,net_r,outcome,pivot_at,resolution_at,route,stop,target,trade_identity
STOP,-1.0,2024-08-01T07:00:00Z,SHORT,2024-08-01T10:05:00Z,2441.88,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-01T04:00:00Z,2024-08-01T17:00:00Z,INITIAL_CONFIRMATION_STOP,2458.43,2421.59,f38778a8f8be7b9cfac4a5e23961538d9057928cb7c8c5a5c55b54626e9dab7a
STOP,-1.0,2024-08-01T08:00:00Z,LONG,2024-08-01T08:25:00Z,2447.49,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-01T05:00:00Z,2024-08-01T11:28:00Z,INITIAL_CONFIRMATION_STOP,2437.37,2458.43,eae68279b97311c8bb48e5b935f1012dc978625b55a51b8d29509cf8f9ba61e0
TARGET,0.764204545454565,2024-08-01T15:00:00Z,LONG,2024-08-01T15:05:00Z,2440.82,EXPOSED_HISTORICAL_REGRESSION,True,0.7658767772511648,TARGET,2024-08-01T12:00:00Z,2024-08-01T15:30:00Z,INITIAL_CONFIRMATION_TARGET,2430.27,2448.9,c8d88a6ca56091b8f2e8ef5ec561f1e4872bcc322de4a7eab1affe111eecc6c4
STOP,-1.0,2024-08-01T20:00:00Z,SHORT,2024-08-01T20:05:00Z,2436.98,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-01T17:00:00Z,2024-08-02T08:48:00Z,INITIAL_CONFIRMATION_STOP,2462.31,2430.27,c39858c2bc7c589baa792395a33e144e1b810c90a22f801b052cfe17af0fa8ee
TARGET,1.6725317693059722,2024-08-02T02:00:00Z,LONG,2024-08-02T03:20:00Z,2446.96,EXPOSED_HISTORICAL_REGRESSION,True,1.280233527939917,TARGET,2024-08-01T21:00:00Z,2024-08-02T08:48:00Z,INITIAL_CONFIRMATION_TARGET,2434.97,2462.31,97ca4353cee9f226e4bcef8578d5490464f7f7d1b3c7ea412a7f0d4d3eae3710
TARGET,0.3981528989225074,2024-08-02T07:00:00Z,LONG,2024-08-02T07:45:00Z,2459.54,EXPOSED_HISTORICAL_REGRESSION,True,0.113153594771241,TARGET,2024-08-02T04:00:00Z,2024-08-02T08:48:00Z,INITIAL_CONFIRMATION_TARGET,2435.06,2462.31,1aead3aee26e1fdb47f5e793a85754ad6645b991b5a35de3c2320c8fbfc7546d
STOP,-1.0,2024-08-02T12:00:00Z,SHORT,2024-08-02T14:35:00Z,2459.66,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-02T09:00:00Z,2024-08-02T15:30:00Z,INITIAL_CONFIRMATION_STOP,2468.46,2435.06,94de88713917fb31e29ad04708af5f1672625eec75df9ea61acb4ad062cea76b
STOP,-1.0,2024-08-02T21:00:00Z,LONG,2024-08-02T21:15:00Z,2431.28,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-02T18:00:00Z,2024-08-05T13:56:00Z,INITIAL_CONFIRMATION_STOP,2410.87,2477.72,10277106b0da328a7b2b474655936c2b28391315661cc4b8edf577e462c3f32c
STOP,-1.0,2024-08-05T04:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-08-05T01:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2410.87,59db43068002b56bf17c1acf556fcdf6b904ff7da0ba972aeb73a2036cd2d188
TARGET,0.15557865557864733,2024-08-05T06:00:00Z,LONG,2024-08-05T06:05:00Z,2444.57,EXPOSED_HISTORICAL_REGRESSION,True,0.0909388289172303,TARGET,2024-08-05T03:00:00Z,2024-08-05T06:05:00Z,INITIAL_CONFIRMATION_TARGET,2414.0,2447.35,a54d3f9fe9c31db9c89428904881510711445009422d1bae48ac34499d803721
TARGET,0.48671978751658984,2024-08-05T10:00:00Z,SHORT,2024-08-05T12:30:00Z,2422.06,EXPOSED_HISTORICAL_REGRESSION,True,0.21949891067537824,TARGET,2024-08-05T07:00:00Z,2024-08-05T13:55:00Z,INITIAL_CONFIRMATION_TARGET,2458.78,2414.0,e5501f2475b8fb5535463a82b08195ac66d7f70c74774db08b9dae01e2a15a21
STOP,-1.0,2024-08-05T12:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-08-05T09:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2458.78,119efc740119c92cdbc27dd35c52f7ac63bcfc9f7f81fc8bcafbbcc0aa919934
TARGET,1.9208165790287814,2024-08-05T18:00:00Z,LONG,2024-08-05T18:05:00Z,2400.85,EXPOSED_HISTORICAL_REGRESSION,True,1.587123287671241,TARGET,2024-08-05T15:00:00Z,2024-08-12T18:14:00Z,INITIAL_CONFIRMATION_TARGET,2364.35,2458.78,dbfc5985841b2a5fff11e2ac14057fc8e1a6f3ab2a6eb804466bfcfeae5d8846
STOP,-1.0,2024-08-05T21:00:00Z,SHORT,2024-08-05T23:15:00Z,2406.37,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-05T18:00:00Z,2024-08-06T03:30:00Z,RECLAIM_CONFIRMATION_STOP,2413.1,2364.35,0d93743a73f6e051c0161cc0a44441a2b89af0248ec7d48e595fcfc72534f386
STOP,-1.0,2024-08-06T03:00:00Z,SHORT,2024-08-06T03:05:00Z,2407.41,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-05T22:00:00Z,2024-08-06T03:30:00Z,INITIAL_CONFIRMATION_STOP,2413.08,2364.35,38ce5c2d3948e41367a40e7464fd0b0ced6ae7a667d389294c1b29f7ca8225ce
TARGET,0.07471980074718482,2024-08-06T05:00:00Z,LONG,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-08-06T02:00:00Z,,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,2413.08,c3b117906bd8f8629c7daf822abfd06046fe0dc8ecb157e2f27a2104bc836e19
TARGET,0.2855822550831884,2024-08-06T06:00:00Z,SHORT,2024-08-06T06:20:00Z,2408.08,EXPOSED_HISTORICAL_REGRESSION,True,0.3531128404669298,TARGET,2024-08-06T03:00:00Z,2024-08-06T08:46:00Z,INITIAL_CONFIRMATION_TARGET,2418.36,2404.45,e2be76bef0c6ac1e17f1498c0f4d0522d6dd1e18f8f46fd726575a8b186ac211
STOP,-1.0,2024-08-06T12:00:00Z,LONG,2024-08-06T12:40:00Z,2414.23,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-06T09:00:00Z,2024-08-06T15:38:00Z,INITIAL_CONFIRMATION_STOP,2394.89,2418.36,4b4a6501be23702fddc39b5fd0306ebdfd098d5ac45ead35137e14a90f501c36
STOP,-1.0,2024-08-06T21:00:00Z,LONG,2024-08-06T21:15:00Z,2392.55,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-06T18:00:00Z,2024-08-07T03:08:00Z,INITIAL_CONFIRMATION_STOP,2381.78,2416.35,d3e7ac07452df39208d485aa93791f8a0817363833a4ac27670c35d28cf784d0
TARGET,0.9323410013531788,2024-08-07T02:00:00Z,SHORT,2024-08-07T02:15:00Z,2387.92,EXPOSED_HISTORICAL_REGRESSION,True,0.7542997542997505,TARGET,2024-08-06T21:00:00Z,2024-08-07T03:08:00Z,INITIAL_CONFIRMATION_TARGET,2396.06,2381.78,aed795baedb31a6c9739a1fa2423b3bf567a5788a5bd0e52ebe982f8aca1509e
TARGET,1.4410919540229443,2024-08-07T07:00:00Z,LONG,2024-08-07T07:10:00Z,2387.65,EXPOSED_HISTORICAL_REGRESSION,True,0.9801864801864716,TARGET,2024-08-07T04:00:00Z,2024-08-07T08:31:00Z,INITIAL_CONFIRMATION_TARGET,2379.07,2396.06,79e934cef830ed2565bc7a3dd2b170c685417bf8c8cf9fcd3327f72353e0297c
STOP,-1.0,2024-08-07T12:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-08-07T09:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2379.07,cba85b3430fc4e3d2e32647fe58bfe5e88fa792e7fd67f625fe8f3469c95798b
TARGET,0.5191082802548329,2024-08-07T13:00:00Z,LONG,2024-08-07T13:40:00Z,2396.88,EXPOSED_HISTORICAL_REGRESSION,True,0.08532423208191162,TARGET,2024-08-07T10:00:00Z,2024-08-07T13:40:00Z,INITIAL_CONFIRMATION_TARGET,2388.09,2397.63,9e5da35eebfde5eebe61a6291386fad8b5cffc7d7e14e60a2aa16b5f37f5d1b5
TARGET,1.3831658291456925,2024-08-07T18:00:00Z,SHORT,2024-08-07T18:30:00Z,2398.1,EXPOSED_HISTORICAL_REGRESSION,True,1.1171874999999691,TARGET,2024-08-07T15:00:00Z,2024-08-07T21:02:00Z,INITIAL_CONFIRMATION_TARGET,2407.06,2388.09,a9b72c5ca834846c3162bf1f98c74e815fa96c6e6c06518b8ca811ed9d7696ad
TARGET,4.600858369098868,2024-08-08T04:00:00Z,LONG,2024-08-08T04:10:00Z,2390.09,EXPOSED_HISTORICAL_REGRESSION,True,1.8587075575026941,TARGET,2024-08-08T01:00:00Z,2024-08-08T14:05:00Z,INITIAL_CONFIRMATION_TARGET,2380.96,2407.06,d55a31e22a28fe8389a837b7069e42a65b21bf925ecf4e5c18292797d49ec3ce
STOP,-1.0,2024-08-08T12:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-08-08T09:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2380.96,47668dae2e45a17644c957a421520a0d33f4fc6f89f7c9170d03681c85be50ea
STOP,-1.0,2024-08-08T20:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-08-08T17:00:00Z,,NO_TRADE_LATER_H1_INVALIDATED,,2402.36,f7a04ce449e111a403653d5c2725222bf9052d7dbd62ebd9a79762bdaf52a6e2
STOP,-1.0,2024-08-09T04:00:00Z,SHORT,2024-08-09T04:05:00Z,2422.09,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-09T01:00:00Z,2024-08-09T05:00:00Z,INITIAL_CONFIRMATION_STOP,2428.02,2402.36,be771bc8624e8619c4c835c90164ea9b9b11950135cf8fbf3d14fa97c6e19077
STOP,-1.0,2024-08-09T08:00:00Z,SHORT,2024-08-09T08:40:00Z,2419.94,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-09T05:00:00Z,2024-08-09T13:43:00Z,INITIAL_CONFIRMATION_STOP,2428.87,2402.36,aa80a4b10cfc36a3296b8f09978f4bd0ccaad8282ca590994f580e875179baac
TARGET,0.5751978891819859,2024-08-09T12:00:00Z,LONG,2024-08-09T13:35:00Z,2427.2,EXPOSED_HISTORICAL_REGRESSION,True,0.16260954235638517,TARGET,2024-08-09T09:00:00Z,2024-08-09T13:43:00Z,INITIAL_CONFIRMATION_TARGET,2416.93,2428.87,beaf75b4848cc76f5749959308e2b7ca840f71153e00b3e983759269fce934f3
STOP,-1.0,2024-08-09T13:00:00Z,SHORT,,,EXPOSED_HISTORICAL_REGRESSION,False,0.0,,2024-08-09T10:00:00Z,,NO_TRADE_H1_CLOSE_INVALIDATED,,2416.93,4593c8a576326567d1b39027411a2e9c18c89df77d3eb5bb5f1bea6fd2157ef0
STOP,-1.0,2024-08-09T20:00:00Z,SHORT,2024-08-09T21:05:00Z,2429.54,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-09T17:00:00Z,2024-08-12T09:53:00Z,RECLAIM_CONFIRMATION_STOP,2437.09,2421.1,aadc1551b6fc2efdc5f742e9ad45561d924b6f62c0daa3010d04c4067bfb6a4e
STOP,-1.0,2024-08-09T23:00:00Z,SHORT,2024-08-12T03:05:00Z,2427.34,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-09T20:00:00Z,2024-08-12T09:53:00Z,INITIAL_CONFIRMATION_STOP,2437.07,2421.1,a1588a0226320cf20aa09ceabf95d7f89a82d2a09da02a94f9a5bee8b5071fa7
STOP,-1.0,2024-08-12T04:00:00Z,SHORT,2024-08-12T04:50:00Z,2425.45,EXPOSED_HISTORICAL_REGRESSION,True,-1.0,STOP,2024-08-12T01:00:00Z,2024-08-12T07:56:00Z,INITIAL_CONFIRMATION_STOP,2433.47,2421.1,e5a453878db461bba74d034f6e855087f16ba970fe45e66448e2e91fb0039b0f
