broken_m5_control_identity,broken_m5_control_level,confirmation_at,confirmation_bar_identity,control_entry_at,control_entry_price,control_stop,deadline,decision_at,delta_vs_original_r,direction,distance_ratio_to_control,dollars_at_50_max_case_risk,effective_stop_policy,entry_at,entry_policy,entry_price,filled,geometry_sha256,mae_r,mfe_r,month,net_r,original_net_r,original_outcome,original_resolution_at,outcome,policy_result_sha256,resolution_at,retest_disposition,retest_expiry_at,retest_fill_at,retest_level,retest_opportunity,retest_used,route,row_sha256,source_h1_swing_identity,stop,stop_atr14,stop_buffer,stop_fallback_reason,stop_policy,stop_replaced_control,stop_source_identity,stop_source_known_at,stop_source_level,target,trade_identity
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,0.0,SHORT,1.0,-50.0,CONTROL_V2_FILLED_STOP,2024-11-01T12:35:00Z,CONTROL_NEXT_M1_OPEN,2751.23,True,95fec7bd2499b6df61dc70f4b3152dce8dfcfed732a0737335081b307d4eca67,1.1781874039939095,0.9784946236559328,2024_11,-1.0,-1.0,STOP,2024-11-01T15:30:00Z,STOP,89a7c3c13fd9b33e224ac8731e24d3931bae28699e3466918a5ff1fd1da93e87,2024-11-01T15:30:00Z,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,ad77c13e8128509f7b284e1b8f6db2707d2d0c2e8a398e0d8563446679327388,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2757.74,,,,CONTROL_V2_FILLED_STOP,False,,2024-11-01T12:35:00Z,2757.74,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,0.0,SHORT,0.666578889620373,-50.0,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2024-11-01T12:35:00Z,CONTROL_NEXT_M1_OPEN,2751.23,True,f4a56ac8f4a7331083fec202fac7b2caa18e329a3a42951374ca98c19d054f19,1.7675138267053514,1.4679352120094902,2024_11,-1.0,-1.0,STOP,2024-11-01T15:30:00Z,STOP,bcac56e85680aa6c484de4f54385d2abb622106913acb3f782f6b582757a2e36,2024-11-01T15:30:00Z,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,cbd6b13cb885714e278d0d1cabdbf4ebfa443d747eaacf4035eaf1b478e42a2a,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2755.5694285714285,1.7885714285714909,0.08942857142857455,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,a58a3f3b27adc20b9be43688662fc52b6cbf07bde408721baa0555ab4e53b24a,2024-11-01T12:30:00Z,2755.48,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,0.0,SHORT,1.0,-50.0,CONTROL_V2_FILLED_STOP,2024-11-01T12:35:00Z,CONTROL_NEXT_M1_OPEN,2751.23,True,c12624f6eb637c7d78e00db11391b8827014cee019e6c46caace15d863bf4c05,1.1781874039939095,0.9784946236559328,2024_11,-1.0,-1.0,STOP,2024-11-01T15:30:00Z,STOP,14b06af5bc0082203b429f49f6100ac1340bfd4603ceab72dff78d7241abcae2,2024-11-01T15:30:00Z,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,a8a2f8262f46b70783659d2198d14e4d9edc51cb569400ec919c4d93a1601e7c,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2757.74,3.0621428571428493,0.15310714285714247,NOT_STRICTLY_CLOSER_THAN_CONTROL,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,False,6d07470a2cd0cb5162049a82a12894fd67f955ffb1d4c6ae9bec62565cc3e35f,2024-11-01T09:45:00Z,2757.74,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,0.0,SHORT,1.0,-50.0,CONTROL_V2_FILLED_STOP,2024-11-01T12:35:00Z,CONTROL_NEXT_M1_OPEN,2751.23,True,c06969e9b9e171a80c1f7402d3d93618b82748d54bd37f852b0b95cc21f579f9,1.1781874039939095,0.9784946236559328,2024_11,-1.0,-1.0,STOP,2024-11-01T15:30:00Z,STOP,417e73312182e51343cbde63c0589b29d43971b028d70f23643f3e5b9d278a6f,2024-11-01T15:30:00Z,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,7154694f32cc2027cdc76e53c378d81292f94bbfe04ed5958dd4b73226052fec,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2757.74,4.746428571428559,0.23732142857142793,NOT_STRICTLY_CLOSER_THAN_CONTROL,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,False,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2024-11-01T12:00:00Z,2757.74,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,1.0,SHORT,1.0,0.0,CONTROL_V2_FILLED_STOP,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,95fec7bd2499b6df61dc70f4b3152dce8dfcfed732a0737335081b307d4eca67,,,2024_11,0.0,-1.0,STOP,2024-11-01T15:30:00Z,NO_FILL,65e6f7eb65d909590f3c40aee371f89b6343635144520f85557f1bf8955b5db6,,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,6bf1d22a7613a328d8d0a66688de6c6653f37bc531b1fb922e6c13a0a1f7b249,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2757.74,,,,CONTROL_V2_FILLED_STOP,False,,2024-11-01T12:35:00Z,2757.74,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,1.0,SHORT,0.666578889620373,0.0,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,f4a56ac8f4a7331083fec202fac7b2caa18e329a3a42951374ca98c19d054f19,,,2024_11,0.0,-1.0,STOP,2024-11-01T15:30:00Z,NO_FILL,eababbd520fa2b3d49a713639aa149be31f42ab8f3e6e8f208ffc17f07a7da60,,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,91a73614e91c3f17f86ee1361baecdf20fab3d699a4ea4d39991f23b38823636,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2755.5694285714285,1.7885714285714909,0.08942857142857455,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,a58a3f3b27adc20b9be43688662fc52b6cbf07bde408721baa0555ab4e53b24a,2024-11-01T12:30:00Z,2755.48,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,1.0,SHORT,1.0,0.0,CONTROL_V2_FILLED_STOP,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,c12624f6eb637c7d78e00db11391b8827014cee019e6c46caace15d863bf4c05,,,2024_11,0.0,-1.0,STOP,2024-11-01T15:30:00Z,NO_FILL,42db30f78355af7afc3fbc3c74add8f10f548cada25d87049626b97cf34ef5cf,,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,187cbca2fb1c7054d5df4a63fa68eb58e68fd885504ecbaefbc2d12490253426,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2757.74,3.0621428571428493,0.15310714285714247,NOT_STRICTLY_CLOSER_THAN_CONTROL,M15_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,False,6d07470a2cd0cb5162049a82a12894fd67f955ffb1d4c6ae9bec62565cc3e35f,2024-11-01T09:45:00Z,2757.74,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,1.0,SHORT,1.0,0.0,CONTROL_V2_FILLED_STOP,,M5_BROKEN_CONTROL_FIRST_RETEST,,False,c06969e9b9e171a80c1f7402d3d93618b82748d54bd37f852b0b95cc21f579f9,,,2024_11,0.0,-1.0,STOP,2024-11-01T15:30:00Z,NO_FILL,029f337e7e74cb9ea115d15c71279be076c5aa2459dadffd4dc32dcf2f079918,,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,e4841acfc3e94f06bdc905a36bf1cc40a5d3e825f59618d98211289d8f165389,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2757.74,4.746428571428559,0.23732142857142793,NOT_STRICTLY_CLOSER_THAN_CONTROL,H1_SOURCE_SWING_BUFFERED_ELSE_CONTROL,False,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2024-11-01T12:00:00Z,2757.74,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,0.75,SHORT,1.0,-12.5,CONTROL_V2_FILLED_STOP,2024-11-01T12:35:00Z,CONFIRMED_25_75_RETEST_SPLIT,2751.23,True,95fec7bd2499b6df61dc70f4b3152dce8dfcfed732a0737335081b307d4eca67,0.2945468509984774,0.2446236559139832,2024_11,-0.25,-1.0,STOP,2024-11-01T15:30:00Z,SPLIT_CONTROL_STOP_NO_RETEST,4608d49a98c9b543b9abe1c64f4602fd565c4ba6b16d4740a95f00d86a524d5e,2024-11-01T15:30:00Z,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,68747dd2fffcbae84f0f261ca06ae861eb75509cac54c6f5167f705bbb8d8852,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2757.74,,,,CONTROL_V2_FILLED_STOP,False,,2024-11-01T12:35:00Z,2757.74,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
419cd0023ecd3b6a4d57d658a62885e0100f7d6a463b054b48a4a928f48a01c7,2751.89,2024-11-01T12:35:00Z,415bb8e7efeeffdb5973070801ec75bb2d19670b5a8d69ba7f7d7ea9a319f6e4,2024-11-01T12:35:00Z,2751.23,2757.74,2024-12-01T00:00:00Z,2024-11-01T12:00:00Z,0.75,SHORT,0.666578889620373,-12.5,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,2024-11-01T12:35:00Z,CONFIRMED_25_75_RETEST_SPLIT,2751.23,True,f4a56ac8f4a7331083fec202fac7b2caa18e329a3a42951374ca98c19d054f19,0.44187845667633785,0.36698380300237254,2024_11,-0.25,-1.0,STOP,2024-11-01T15:30:00Z,SPLIT_CONTROL_STOP_NO_RETEST,74f2a1a913cd28a5bac7d06f35f423652160a7cdab49b90963e6af439922c0f7,2024-11-01T15:30:00Z,RETEST_EXPIRED,2024-11-01T12:50:00Z,,2751.89,False,False,INITIAL_CONFIRMATION_STOP,c3d95464763305a571402764ed44e5b4e06e9aeb014a7bb71cfd248c95db26a0,81d50563c7253dcc4217eb4c5fcd715c1a4de733fc7d19515244a06294a5c901,2755.5694285714285,1.7885714285714909,0.08942857142857455,,M5_LATEST_CONFIRMED_OPPOSING_SWING_ELSE_CONTROL,True,a58a3f3b27adc20b9be43688662fc52b6cbf07bde408721baa0555ab4e53b24a,2024-11-01T12:30:00Z,2755.48,2744.85,875042139d7bc10a36dcd2f2b931a068cc575c7c4c38b547d07c61bc3ac4984c
